"Quarter","Region","Sex","Age","Employed, % (of population)","Underemployed, % (of employed)","Unemployment rate, % (of labour force)"
"2005Q1","Total","Males and females","25-54",87.7,3.7,2.1
"2005Q1","Total","Males and females","55-74",63.7,3.5,0.7
"2005Q1","Total","Males and females","16-64",82.2,5.5,3.1
"2005Q1","Total","Males and females","25-64",87.1,3.8,1.9
"2005Q1","Total","Males","16-74",80.3,2.9,3.4
"2005Q1","Total","Males","16-24",55.4,16.2,13.6
"2005Q1","Total","Males","25-54",91.4,0.8,2.0
"2005Q1","Total","Males","55-74",71.4,1.6,0.4
"2005Q1","Total","Males","16-64",83.8,2.9,3.5
"2005Q1","Total","Males","25-64",91.1,0.8,1.8
"2005Q1","Total","Females","16-74",75.2,8.0,2.5
"2005Q1","Total","Females","16-24",70.3,14.1,5.3
"2005Q1","Total","Females","25-54",84.0,7.0,2.2
"2005Q1","Total","Females","55-74",56.1,5.9,1.0
"2005Q1","Total","Females","16-64",80.5,8.3,2.6
"2005Q1","Total","Females","25-64",83.0,7.0,2.0
"2005Q1","Capital region","Males and females","16-74",77.1,5.1,3.2
"2005Q1","Capital region","Males and females","16-24",63.4,15.1,7.8
"2005Q1","Capital region","Males and females","25-54",86.9,3.2,2.5
"2005Q1","Capital region","Males and females","55-74",63.7,2.8,1.1
"2005Q1","Capital region","Males and females","16-64",81.2,5.2,3.3
"2005Q1","Capital region","Males and females","25-64",86.3,3.1,2.3
"2005Q1","Capital region","Males","16-74",79.0,3.2,3.9
"2005Q1","Capital region","Males","16-24",56.4,15.4,12.5
"2005Q1","Capital region","Males","25-54",90.8,0.9,2.7
"2005Q1","Capital region","Males","55-74",69.0,2.0,0.7
"2005Q1","Capital region","Males","16-64",82.7,3.1,4.1
"2005Q1","Capital region","Males","25-64",90.4,0.9,2.4
"2005Q1","Capital region","Females","16-74",75.2,7.2,2.5
"2005Q1","Capital region","Females","16-24",70.5,14.9,3.6
"2005Q1","Capital region","Females","25-54",83.0,5.7,2.4
"2005Q1","Capital region","Females","55-74",58.3,3.9,1.6
"2005Q1","Capital region","Females","16-64",79.6,7.4,2.6
"2005Q1","Capital region","Females","25-64",82.2,5.5,2.3
"2005Q1","Outside Capital region","Males and females","16-74",79.0,5.7,2.5
"2005Q1","Outside Capital region","Males and females","16-24",60.7,14.9,12.9
"2005Q1","Outside Capital region","Males and females","25-54",89.2,4.7,1.3
"2005Q1","Outside Capital region","Males and females","55-74",63.7,4.5,0.0
"2005Q1","Outside Capital region","Males and females","16-64",84.1,6.0,2.6
"2005Q1","Outside Capital region","Males and females","25-64",88.5,4.9,1.1
"2005Q1","Outside Capital region","Males","16-74",82.6,2.4,2.5
"2005Q1","Outside Capital region","Males","16-24",53.0,18.4,16.3
"2005Q1","Outside Capital region","Males","25-54",92.3,0.6,0.9
"2005Q1","Outside Capital region","Males","55-74",75.4,1.1,0.0
"2005Q1","Outside Capital region","Males","16-64",85.7,2.6,2.6
"2005Q1","Outside Capital region","Males","25-64",92.2,0.8,0.8
"2005Q1","Outside Capital region","Females","16-74",75.2,9.6,2.5
"2005Q1","Outside Capital region","Females","16-24",69.7,11.8,9.6
"2005Q1","Outside Capital region","Females","25-54",85.8,9.3,1.8
"2005Q1","Outside Capital region","Females","55-74",52.7,9.2,0.0
"2005Q1","Outside Capital region","Females","16-64",82.3,9.9,2.6
"2005Q1","Outside Capital region","Females","25-64",84.6,9.6,1.5
"2005Q2","Total","Males and females","16-74",81.0,4.6,3.0
"2005Q2","Total","Males and females","16-24",77.1,12.9,8.5
"2005Q2","Total","Males and females","25-54",88.9,2.8,1.7
"2005Q2","Total","Males and females","55-74",63.5,3.0,2.0
"2005Q2","Total","Males and females","16-64",85.6,4.7,3.1
"2005Q2","Total","Males and females","25-64",87.8,2.9,1.8
"2005Q2","Total","Males","16-74",85.5,1.8,2.8
"2005Q2","Total","Males","16-24",75.8,8.3,9.2
"2005Q2","Total","Males","25-54",93.3,0.4,1.5
"2005Q2","Total","Males","55-74",72.9,1.1,1.1
"2005Q2","Total","Males","16-64",88.9,1.8,2.9
"2005Q2","Total","Males","25-64",92.2,0.4,1.5
"2005Q2","Total","Females","16-74",76.4,7.7,3.2
"2005Q2","Total","Females","16-24",78.4,17.6,7.7
"2005Q2","Total","Females","25-54",84.4,5.6,1.8
"2005Q2","Total","Females","55-74",54.2,5.4,3.1
"2005Q2","Total","Females","16-64",82.3,7.9,3.2
"2005Q2","Total","Females","25-64",83.2,5.7,2.1
"2005Q2","Capital region","Males and females","16-74",81.1,5.1,3.8
"2005Q2","Capital region","Males and females","16-24",76.4,13.8,9.7
"2005Q2","Capital region","Males and females","25-54",89.2,3.0,2.0
"2005Q2","Capital region","Males and females","55-74",63.9,2.6,2.9
"2005Q2","Capital region","Males and females","16-64",85.3,5.2,3.9
"2005Q2","Capital region","Males and females","25-64",87.9,3.0,2.3
"2005Q2","Capital region","Males","16-74",83.9,2.2,3.7
"2005Q2","Capital region","Males","16-24",73.8,8.2,10.9
"2005Q2","Capital region","Males","25-54",92.1,0.6,1.9
"2005Q2","Capital region","Males","55-74",71.0,1.3,2.0
"2005Q2","Capital region","Males","16-64",87.0,2.1,3.9
"2005Q2","Capital region","Males","25-64",90.9,0.7,2.0
"2005Q2","Capital region","Females","16-74",78.4,8.1,3.9
"2005Q2","Capital region","Females","16-24",78.9,19.1,8.5
"2005Q2","Capital region","Females","25-54",86.3,5.5,2.2
"2005Q2","Capital region","Females","55-74",57.3,4.2,4.0
"2005Q2","Capital region","Females","16-64",83.5,8.3,4.0
"2005Q2","Capital region","Females","25-64",84.9,5.4,2.6
"2005Q2","Outside Capital region","Males and females","16-74",80.8,3.7,1.5
"2005Q2","Outside Capital region","Males and females","16-24",79.0,10.3,5.2
"2005Q2","Outside Capital region","Males and females","25-54",88.4,2.5,1.0
"2005Q2","Outside Capital region","Males and females","55-74",62.8,3.5,0.6
"2005Q2","Outside Capital region","Males and females","16-64",86.3,3.8,1.6
"2005Q2","Outside Capital region","Males and females","25-64",87.6,2.8,1.0
"2005Q2","Outside Capital region","Males","16-74",88.3,1.3,1.3
"2005Q2","Outside Capital region","Males","16-24",80.7,8.6,5.3
"2005Q2","Outside Capital region","Males","25-54",95.1,0.0,0.9
"2005Q2","Outside Capital region","Males","55-74",75.5,0.9,0.0
"2005Q2","Outside Capital region","Males","16-64",92.1,1.2,1.4
"2005Q2","Outside Capital region","Males","25-64",94.3,0.0,0.7
"2005Q2","Outside Capital region","Females","16-74",72.6,7.0,1.7
"2005Q2","Outside Capital region","Females","16-24",76.7,12.6,5.0
"2005Q2","Outside Capital region","Females","25-54",81.1,5.7,1.2
"2005Q2","Outside Capital region","Females","55-74",49.2,7.8,1.5
"2005Q2","Outside Capital region","Females","16-64",79.9,7.1,1.8
"2005Q2","Outside Capital region","Females","25-64",80.4,6.3,1.3
"2005Q3","Total","Males and females","16-74",81.8,3.1,1.8
"2005Q3","Total","Males and females","16-24",79.0,5.1,3.5
"2005Q3","Total","Males and females","25-54",89.3,2.6,1.3
"2005Q3","Total","Males and females","55-74",64.5,2.8,1.6
"2005Q3","Total","Males and females","16-64",86.5,3.2,1.7
"2005Q3","Total","Males and females","25-64",88.4,2.8,1.3
"2005Q3","Total","Males","16-74",87.2,1.4,1.2
"2005Q3","Total","Males","16-24",80.3,4.0,2.4
"2005Q3","Total","Males","25-54",94.7,0.8,0.9
"2005Q3","Total","Males","55-74",73.1,1.1,1.2
"2005Q3","Total","Males","16-64",91.0,1.4,1.1
"2005Q3","Total","Males","25-64",93.7,0.9,0.8
"2005Q3","Total","Females","16-74",76.3,5.1,2.4
"2005Q3","Total","Females","16-24",77.5,6.4,4.6
"2005Q3","Total","Females","25-54",83.8,4.7,1.8
"2005Q3","Total","Females","55-74",56.1,5.0,2.2
"2005Q3","Total","Females","16-64",81.9,5.2,2.5
"2005Q3","Total","Females","25-64",82.9,5.0,1.9
"2005Q3","Capital region","Males and females","16-74",82.0,2.8,1.8
"2005Q3","Capital region","Males and females","16-24",77.3,4.6,2.8
"2005Q3","Capital region","Males and females","25-54",90.2,2.5,1.6
"2005Q3","Capital region","Males and females","55-74",64.4,2.0,1.5
"2005Q3","Capital region","Males and females","16-64",86.4,2.9,1.8
"2005Q3","Capital region","Males and females","25-64",88.9,2.5,1.5
"2005Q3","Capital region","Males","16-74",85.6,1.2,1.4
"2005Q3","Capital region","Males","16-24",78.1,3.2,1.8
"2005Q3","Capital region","Males","25-54",93.5,0.8,1.2
"2005Q3","Capital region","Males","55-74",70.4,0.6,1.3
"2005Q3","Capital region","Males","16-64",89.4,1.2,1.3
"2005Q3","Capital region","Males","25-64",92.3,0.8,1.2
"2005Q3","Capital region","Females","16-74",78.4,4.6,2.3
"2005Q3","Capital region","Females","16-24",76.5,5.9,3.7
"2005Q3","Capital region","Females","25-54",86.7,4.4,1.9
"2005Q3","Capital region","Females","55-74",58.5,3.6,1.7
"2005Q3","Capital region","Females","16-64",83.3,4.7,2.3
"2005Q3","Capital region","Females","25-64",85.3,4.3,1.9
"2005Q3","Outside Capital region","Males and females","16-74",81.5,3.6,1.7
"2005Q3","Outside Capital region","Males and females","16-24",82.9,6.4,4.9
"2005Q3","Outside Capital region","Males and females","25-54",87.9,2.8,0.9
"2005Q3","Outside Capital region","Males and females","55-74",64.8,4.1,1.8
"2005Q3","Outside Capital region","Males and females","16-64",86.9,3.8,1.7
"2005Q3","Outside Capital region","Males and females","25-64",87.6,3.3,1.0
"2005Q3","Outside Capital region","Males","16-74",90.0,1.7,1.0
"2005Q3","Outside Capital region","Males","16-24",84.6,5.4,3.3
"2005Q3","Outside Capital region","Males","25-54",96.8,0.7,0.4
"2005Q3","Outside Capital region","Males","55-74",77.2,1.8,1.1
"2005Q3","Outside Capital region","Males","16-64",93.9,1.8,0.8
"2005Q3","Outside Capital region","Males","25-64",96.1,1.0,0.3
"2005Q3","Outside Capital region","Females","16-74",72.3,6.2,2.6
"2005Q3","Outside Capital region","Females","16-24",80.3,7.8,7.1
"2005Q3","Outside Capital region","Females","25-54",78.9,5.4,1.6
"2005Q3","Outside Capital region","Females","55-74",52.3,7.6,3.0
"2005Q3","Outside Capital region","Females","16-64",79.1,6.4,2.7
"2005Q3","Outside Capital region","Females","25-64",78.9,6.1,2.0
"2005Q4","Total","Males and females","16-74",79.3,4.0,2.7
"2005Q4","Total","Males and females","16-24",68.2,10.2,7.9
"2005Q4","Total","Males and females","25-54",87.8,2.5,1.8
"2005Q4","Total","Males and females","55-74",65.9,4.2,0.9
"2005Q4","Total","Males and females","16-64",83.8,4.1,2.8
"2005Q4","Total","Males and females","25-64",87.7,2.9,1.7
"2005Q4","Total","Males","16-74",82.5,2.5,3.0
"2005Q4","Total","Males","16-24",63.8,8.9,9.9
"2005Q4","Total","Males","25-54",92.4,1.2,2.1
"2005Q4","Total","Males","55-74",71.7,2.1,0.8
"2005Q4","Total","Males","16-64",86.3,2.4,3.2
"2005Q4","Total","Males","25-64",92.0,1.3,1.9
"2005Q4","Total","Females","16-74",76.0,5.8,2.2
"2005Q4","Total","Females","16-24",72.8,11.5,6.0
"2005Q4","Total","Females","25-54",83.1,4.1,1.5
"2005Q4","Total","Females","55-74",60.1,6.6,1.0
"2005Q4","Total","Females","16-64",81.3,5.9,2.3
"2005Q4","Total","Females","25-64",83.4,4.7,1.5
"2005Q4","Capital region","Males and females","16-74",79.4,4.0,2.7
"2005Q4","Capital region","Males and females","16-24",69.4,9.4,6.7
"2005Q4","Capital region","Males and females","25-54",88.1,2.6,2.1
"2005Q4","Capital region","Males and females","55-74",64.8,3.9,0.7
"2005Q4","Capital region","Males and females","16-64",83.8,4.0,2.8
"2005Q4","Capital region","Males and females","25-64",87.7,2.8,1.9
"2005Q4","Capital region","Males","16-74",81.8,2.9,3.3
"2005Q4","Capital region","Males","16-24",64.6,8.6,8.8
"2005Q4","Capital region","Males","25-54",91.2,1.7,2.7
"2005Q4","Capital region","Males","55-74",71.0,2.3,0.7
"2005Q4","Capital region","Males","16-64",85.3,2.8,3.5
"2005Q4","Capital region","Males","25-64",90.9,1.7,2.4
"2005Q4","Capital region","Females","16-74",77.0,5.2,2.0
"2005Q4","Capital region","Females","16-24",74.1,10.1,4.8
"2005Q4","Capital region","Females","25-54",84.9,3.5,1.4
"2005Q4","Capital region","Females","55-74",59.1,5.8,0.8
"2005Q4","Capital region","Females","16-64",82.2,5.3,2.1
"2005Q4","Capital region","Females","25-64",84.5,4.1,1.3
"2005Q4","Outside Capital region","Males and females","16-74",79.1,4.1,2.6
"2005Q4","Outside Capital region","Males and females","16-24",65.1,12.3,11.0
"2005Q4","Outside Capital region","Males and females","25-54",87.3,2.5,1.4
"2005Q4","Outside Capital region","Males and females","55-74",67.7,4.5,1.1
"2005Q4","Outside Capital region","Males and females","16-64",84.0,4.2,2.7
"2005Q4","Outside Capital region","Males and females","25-64",87.8,3.0,1.4
"2005Q4","Outside Capital region","Males","16-74",83.7,1.8,2.5
"2005Q4","Outside Capital region","Males","16-24",62.1,9.5,12.2
"2005Q4","Outside Capital region","Males","25-54",94.4,0.3,1.0
"2005Q4","Outside Capital region","Males","55-74",72.8,1.8,1.0
"2005Q4","Outside Capital region","Males","16-64",88.1,1.9,2.7
"2005Q4","Outside Capital region","Males","25-64",94.0,0.7,1.1
"2005Q4","Outside Capital region","Females","16-74",74.1,7.1,2.7
"2005Q4","Outside Capital region","Females","16-24",69.1,15.5,9.4
"2005Q4","Outside Capital region","Females","25-54",80.0,5.2,1.8
"2005Q4","Outside Capital region","Females","55-74",62.0,8.0,1.3
"2005Q4","Outside Capital region","Females","16-64",79.5,7.1,2.8
"2005Q4","Outside Capital region","Females","25-64",81.3,5.8,1.7
"2006Q1","Total","Males and females","16-74",79.3,5.2,2.4
"2006Q1","Total","Males and females","16-24",65.6,12.8,7.7
"2006Q1","Total","Males and females","25-54",87.9,4.4,1.4
"2006Q1","Total","Males and females","55-74",67.2,2.2,1.3
"2006Q1","Total","Males and females","16-64",83.3,5.4,2.5
"2006Q1","Total","Males and females","25-64",87.6,4.0,1.5
"2006Q1","Total","Males","16-74",82.7,2.5,2.2
"2006Q1","Total","Males","16-24",60.4,10.2,8.1
"2006Q1","Total","Males","25-54",92.3,1.4,1.3
"2006Q1","Total","Males","55-74",75.1,1.1,1.2
"2006Q1","Total","Males","16-64",85.9,2.6,2.4
"2006Q1","Total","Males","25-64",92.2,1.4,1.3
"2006Q1","Total","Females","16-74",75.7,8.2,2.5
"2006Q1","Total","Females","16-24",71.4,15.2,7.4
"2006Q1","Total","Females","25-54",83.3,7.7,1.6
"2006Q1","Total","Females","55-74",59.3,3.7,1.4
"2006Q1","Total","Females","16-64",80.6,8.5,2.6
"2006Q1","Total","Females","25-64",82.7,7.1,1.6
"2006Q1","Capital region","Males and females","16-74",79.6,5.1,2.5
"2006Q1","Capital region","Males and females","16-24",67.3,13.1,6.1
"2006Q1","Capital region","Males and females","25-54",88.1,4.1,1.9
"2006Q1","Capital region","Males and females","55-74",67.1,1.9,1.4
"2006Q1","Capital region","Males and females","16-64",83.6,5.3,2.6
"2006Q1","Capital region","Males and females","25-64",87.9,3.7,1.9
"2006Q1","Capital region","Males","16-74",82.8,2.8,2.5
"2006Q1","Capital region","Males","16-24",62.1,9.9,6.8
"2006Q1","Capital region","Males","25-54",92.3,1.8,1.8
"2006Q1","Capital region","Males","55-74",74.6,0.5,1.3
"2006Q1","Capital region","Males","16-64",85.8,2.8,2.6
"2006Q1","Capital region","Males","25-64",92.1,1.5,1.8
"2006Q1","Capital region","Females","16-74",76.4,7.8,2.6
"2006Q1","Capital region","Females","16-24",72.9,16.0,5.5
"2006Q1","Capital region","Females","25-54",83.7,6.6,2.1
"2006Q1","Capital region","Females","55-74",60.2,3.5,1.4
"2006Q1","Capital region","Females","16-64",81.3,8.0,2.7
"2006Q1","Capital region","Females","25-64",83.5,6.2,2.0
"2006Q1","Outside Capital region","Males and females","16-74",78.6,5.3,2.1
"2006Q1","Outside Capital region","Males and females","16-24",61.8,12.1,11.4
"2006Q1","Outside Capital region","Males and females","25-54",87.5,4.9,0.5
"2006Q1","Outside Capital region","Males and females","55-74",67.4,2.8,1.1
"2006Q1","Outside Capital region","Males and females","16-64",82.7,5.6,2.2
"2006Q1","Outside Capital region","Males and females","25-64",87.0,4.6,0.7
"2006Q1","Outside Capital region","Males","16-74",82.5,2.1,1.8
"2006Q1","Outside Capital region","Males","16-24",56.7,11.0,11.1
"2006Q1","Outside Capital region","Males","25-54",92.3,0.7,0.3
"2006Q1","Outside Capital region","Males","55-74",76.0,2.0,1.0
"2006Q1","Outside Capital region","Males","16-64",86.0,2.3,1.9
"2006Q1","Outside Capital region","Males","25-64",92.4,1.1,0.5
"2006Q1","Outside Capital region","Females","16-74",74.4,9.1,2.5
"2006Q1","Outside Capital region","Females","16-24",67.8,13.2,11.8
"2006Q1","Outside Capital region","Females","25-54",82.5,9.7,0.7
"2006Q1","Outside Capital region","Females","55-74",57.7,4.0,1.3
"2006Q1","Outside Capital region","Females","16-64",79.1,9.5,2.6
"2006Q1","Outside Capital region","Females","25-64",81.3,8.9,0.9
"2006Q2","Total","Males and females","16-74",81.7,4.4,4.0
"2006Q2","Total","Males and females","16-24",76.4,11.6,12.7
"2006Q2","Total","Males and females","25-54",89.7,3.1,2.1
"2006Q2","Total","Males and females","55-74",64.7,2.4,1.7
"2006Q2","Total","Males and females","16-64",86.3,4.5,4.1
"2006Q2","Total","Males and females","25-64",88.7,3.0,2.1
"2006Q2","Total","Males","16-74",86.3,2.3,3.9
"2006Q2","Total","Males","16-24",74.8,8.9,13.6
"2006Q2","Total","Males","25-54",94.5,1.4,2.1
"2006Q2","Total","Males","55-74",73.4,0.0,0.9
"2006Q2","Total","Males","16-64",89.6,2.4,4.1
"2006Q2","Total","Males","25-64",93.3,1.2,1.9
"2006Q2","Total","Females","16-74",76.9,6.9,4.1
"2006Q2","Total","Females","16-24",78.2,14.5,11.8
"2006Q2","Total","Females","25-54",84.6,5.1,2.1
"2006Q2","Total","Females","55-74",55.9,5.6,2.8
"2006Q2","Total","Females","16-64",82.7,7.0,4.2
"2006Q2","Total","Females","25-64",83.8,5.3,2.3
"2006Q2","Capital region","Males and females","16-74",81.9,4.3,4.3
"2006Q2","Capital region","Males and females","16-24",77.7,12.1,13.0
"2006Q2","Capital region","Males and females","25-54",90.3,2.7,2.1
"2006Q2","Capital region","Males and females","55-74",63.0,2.2,2.4
"2006Q2","Capital region","Males and females","16-64",86.5,4.5,4.4
"2006Q2","Capital region","Males and females","25-64",88.8,2.7,2.2
"2006Q2","Capital region","Males","16-74",86.4,2.3,4.4
"2006Q2","Capital region","Males","16-24",76.9,8.5,14.0
"2006Q2","Capital region","Males","25-54",94.9,1.3,2.4
"2006Q2","Capital region","Males","55-74",70.6,0.0,1.5
"2006Q2","Capital region","Males","16-64",89.7,2.4,4.6
"2006Q2","Capital region","Males","25-64",93.0,1.1,2.3
"2006Q2","Capital region","Females","16-74",77.4,6.6,4.3
"2006Q2","Capital region","Females","16-24",78.5,15.5,12.0
"2006Q2","Capital region","Females","25-54",85.4,4.2,1.7
"2006Q2","Capital region","Females","55-74",56.1,4.8,3.5
"2006Q2","Capital region","Females","16-64",83.2,6.7,4.3
"2006Q2","Capital region","Females","25-64",84.5,4.5,2.0
"2006Q2","Outside Capital region","Males and females","16-74",81.4,4.6,3.4
"2006Q2","Outside Capital region","Males and females","16-24",73.5,10.6,12.0
"2006Q2","Outside Capital region","Males and females","25-54",88.8,3.9,2.2
"2006Q2","Outside Capital region","Males and females","55-74",67.4,2.8,0.6
"2006Q2","Outside Capital region","Males and females","16-64",85.9,4.7,3.5
"2006Q2","Outside Capital region","Males and females","25-64",88.5,3.7,1.9
"2006Q2","Outside Capital region","Males","16-74",86.2,2.4,3.0
"2006Q2","Outside Capital region","Males","16-24",70.6,9.7,12.8
"2006Q2","Outside Capital region","Males","25-54",94.0,1.6,1.6
"2006Q2","Outside Capital region","Males","55-74",77.8,0.0,0.0
"2006Q2","Outside Capital region","Males","16-64",89.6,2.5,3.2
"2006Q2","Outside Capital region","Males","25-64",93.9,1.3,1.3
"2006Q2","Outside Capital region","Females","16-74",76.0,7.5,3.9
"2006Q2","Outside Capital region","Females","16-24",77.5,11.7,11.0
"2006Q2","Outside Capital region","Females","25-54",83.2,6.7,2.9
"2006Q2","Outside Capital region","Females","55-74",55.7,7.2,1.5
"2006Q2","Outside Capital region","Females","16-64",81.7,7.5,4.0
