Degree,Year,field,Total,Males,Females
Master's degree,2011,Personal services,32,11,21
Master's degree,2011,Transport services,0,0,0
Master's degree,2011,Environmental protection,6,3,3
Master's degree,2011,Security services,0,0,0
Master's degree,2011,Unknown,0,0,0
Master's degree,2012,Total,4352,1382,2970
Master's degree,2012,"Basic/broad, general programmes",0,0,0
Master's degree,2012,Literacy and numeracy,0,0,0
Master's degree,2012,Personal skills,0,0,0
Master's degree,2012,Teacher training and educational science,805,120,685
Master's degree,2012,Arts,36,9,27
Master's degree,2012,Humanities,428,120,308
Master's degree,2012,Social and behavioural science,389,123,266
Master's degree,2012,Journalism and information,71,20,51
Master's degree,2012,Business and administration,1027,409,618
Master's degree,2012,Law,425,175,250
Master's degree,2012,Life science,160,56,104
Master's degree,2012,Physical science,59,23,36
Master's degree,2012,Mathematics and statistics,8,8,0
Master's degree,2012,Computing,51,45,6
Master's degree,2012,"Science, not specified",0,0,0
Master's degree,2012,Engineering and engineering trades,152,102,50
Master's degree,2012,Manufacturing and processing,15,1,14
Master's degree,2012,Architecture and building,100,53,47
Master's degree,2012,"Certified trades, not specified",0,0,0
Master's degree,2012,"Agriculture, forestry and fishery",18,9,9
Master's degree,2012,Veterinary,0,0,0
Master's degree,2012,Health,418,89,329
Master's degree,2012,Social services,163,10,153
Master's degree,2012,Personal services,26,9,17
Master's degree,2012,Transport services,0,0,0
Master's degree,2012,Environmental protection,1,1,0
Master's degree,2012,Security services,0,0,0
Master's degree,2012,Unknown,0,0,0
Master's degree,2013,Total,4796,1550,3246
Master's degree,2013,"Basic/broad, general programmes",0,0,0
Master's degree,2013,Literacy and numeracy,0,0,0
Master's degree,2013,Personal skills,0,0,0
Master's degree,2013,Teacher training and educational science,908,171,737
Master's degree,2013,Arts,57,13,44
Master's degree,2013,Humanities,447,143,304
Master's degree,2013,Social and behavioural science,403,117,286
Master's degree,2013,Journalism and information,65,11,54
Master's degree,2013,Business and administration,1164,460,704
Master's degree,2013,Law,443,188,255
Master's degree,2013,Life science,147,52,95
Master's degree,2013,Physical science,72,37,35
Master's degree,2013,Mathematics and statistics,7,7,0
Master's degree,2013,Computing,53,46,7
Master's degree,2013,"Science, not specified",0,0,0
Master's degree,2013,Engineering and engineering trades,172,117,55
Master's degree,2013,Manufacturing and processing,22,2,20
Master's degree,2013,Architecture and building,99,59,40
Master's degree,2013,"Certified trades, not specified",0,0,0
Master's degree,2013,"Agriculture, forestry and fishery",13,8,5
Master's degree,2013,Veterinary,0,0,0
Master's degree,2013,Health,481,90,391
Master's degree,2013,Social services,206,14,192
Master's degree,2013,Personal services,35,15,20
Master's degree,2013,Transport services,0,0,0
Master's degree,2013,Environmental protection,2,0,2
Master's degree,2013,Security services,0,0,0
Master's degree,2013,Unknown,0,0,0
Master's degree,2014,Total,4465,1415,3050
Master's degree,2014,"Basic/broad, general programmes",0,0,0
Master's degree,2014,Literacy and numeracy,0,0,0
Master's degree,2014,Personal skills,0,0,0
Master's degree,2014,Teacher training and educational science,838,148,690
Master's degree,2014,Arts,46,8,38
Master's degree,2014,Humanities,394,127,267
Master's degree,2014,Social and behavioural science,384,120,264
Master's degree,2014,Journalism and information,63,6,57
Master's degree,2014,Business and administration,1186,423,763
Master's degree,2014,Law,394,180,214
Master's degree,2014,Life science,135,44,91
Master's degree,2014,Physical science,65,37,28
Master's degree,2014,Mathematics and statistics,2,1,1
Master's degree,2014,Computing,49,42,7
Master's degree,2014,"Science, not specified",0,0,0
Master's degree,2014,Engineering and engineering trades,155,104,51
Master's degree,2014,Manufacturing and processing,18,3,15
Master's degree,2014,Architecture and building,83,54,29
Master's degree,2014,"Certified trades, not specified",0,0,0
Master's degree,2014,"Agriculture, forestry and fishery",18,9,9
Master's degree,2014,Veterinary,0,0,0
Master's degree,2014,Health,426,92,334
Master's degree,2014,Social services,168,8,160
Master's degree,2014,Personal services,38,9,29
Master's degree,2014,Transport services,0,0,0
Master's degree,2014,Environmental protection,3,0,3
Master's degree,2014,Security services,0,0,0
Master's degree,2014,Unknown,0,0,0
Master's degree,2015,Total,4524,1377,3147
Master's degree,2015,"Basic/broad, general programmes",0,0,0
Master's degree,2015,Literacy and numeracy,0,0,0
Master's degree,2015,Personal skills,0,0,0
Master's degree,2015,Teacher training and educational science,856,133,723
Master's degree,2015,Arts,53,14,39
Master's degree,2015,Humanities,393,128,265
Master's degree,2015,Social and behavioural science,402,122,280
Master's degree,2015,Journalism and information,78,11,67
Master's degree,2015,Business and administration,1173,384,789
Master's degree,2015,Law,412,181,231
Master's degree,2015,Life science,145,57,88
Master's degree,2015,Physical science,56,31,25
Master's degree,2015,Mathematics and statistics,31,18,13
Master's degree,2015,Computing,61,54,7
Master's degree,2015,"Science, not specified",0,0,0
Master's degree,2015,Engineering and engineering trades,140,92,48
Master's degree,2015,Manufacturing and processing,19,6,13
Master's degree,2015,Architecture and building,47,28,19
Master's degree,2015,"Certified trades, not specified",0,0,0
Master's degree,2015,"Agriculture, forestry and fishery",6,2,4
Master's degree,2015,Veterinary,0,0,0
Master's degree,2015,Health,445,104,341
Master's degree,2015,Social services,174,7,167
Master's degree,2015,Personal services,31,5,26
Master's degree,2015,Transport services,0,0,0
Master's degree,2015,Environmental protection,2,0,2
Master's degree,2015,Security services,0,0,0
Master's degree,2015,Unknown,0,0,0
Master's degree,2016,Total,4338,1359,2979
Master's degree,2016,"Basic/broad, general programmes",0,0,0
Master's degree,2016,Literacy and numeracy,0,0,0
Master's degree,2016,Personal skills,0,0,0
Master's degree,2016,Teacher training and educational science,833,141,692
Master's degree,2016,Arts,63,19,44
Master's degree,2016,Humanities,354,123,231
Master's degree,2016,Social and behavioural science,346,84,262
Master's degree,2016,Journalism and information,76,9,67
Master's degree,2016,Business and administration,1094,371,723
Master's degree,2016,Law,395,170,225
Master's degree,2016,Life science,140,54,86
Master's degree,2016,Physical science,67,37,30
Master's degree,2016,Mathematics and statistics,38,22,16
Master's degree,2016,Computing,81,64,17
Master's degree,2016,"Science, not specified",0,0,0
Master's degree,2016,Engineering and engineering trades,194,119,75
Master's degree,2016,Manufacturing and processing,11,4,7
Master's degree,2016,Architecture and building,40,25,15
Master's degree,2016,"Certified trades, not specified",0,0,0
Master's degree,2016,"Agriculture, forestry and fishery",5,4,1
Master's degree,2016,Veterinary,0,0,0
Master's degree,2016,Health,435,98,337
Master's degree,2016,Social services,133,11,122
Master's degree,2016,Personal services,30,4,26
Master's degree,2016,Transport services,0,0,0
Master's degree,2016,Environmental protection,3,0,3
Master's degree,2016,Security services,0,0,0
Master's degree,2016,Unknown,0,0,0
Master's degree,2017,Total,4358,1363,2995
Master's degree,2017,"Basic/broad, general programmes",0,0,0
Master's degree,2017,Literacy and numeracy,0,0,0
Master's degree,2017,Personal skills,0,0,0
Master's degree,2017,Teacher training and educational science,822,140,682
Master's degree,2017,Arts,67,23,44
Master's degree,2017,Humanities,369,117,252
Master's degree,2017,Social and behavioural science,371,88,283
Master's degree,2017,Journalism and information,60,14,46
Master's degree,2017,Business and administration,1033,354,679
Master's degree,2017,Law,379,159,220
Master's degree,2017,Life science,144,53,91
Master's degree,2017,Physical science,76,39,37
Master's degree,2017,Mathematics and statistics,40,23,17
Master's degree,2017,Computing,79,64,15
Master's degree,2017,"Science, not specified",0,0,0
Master's degree,2017,Engineering and engineering trades,212,126,86
Master's degree,2017,Manufacturing and processing,23,5,18
Master's degree,2017,Architecture and building,37,21,16
Master's degree,2017,"Certified trades, not specified",0,0,0
Master's degree,2017,"Agriculture, forestry and fishery",7,3,4
Master's degree,2017,Veterinary,0,0,0
Master's degree,2017,Health,480,113,367
Master's degree,2017,Social services,130,13,117
Master's degree,2017,Personal services,28,8,20
Master's degree,2017,Transport services,0,0,0
Master's degree,2017,Environmental protection,1,0,1
Master's degree,2017,Security services,0,0,0
Master's degree,2017,Unknown,0,0,0
Master's degree,2018,Total,4519,1340,3179
Master's degree,2018,"Basic/broad, general programmes",0,0,0
Master's degree,2018,Literacy and numeracy,0,0,0
Master's degree,2018,Personal skills,0,0,0
Master's degree,2018,Teacher training and educational science,909,139,770
Master's degree,2018,Arts,57,19,38
Master's degree,2018,Humanities,375,119,256
Master's degree,2018,Social and behavioural science,358,80,278
Master's degree,2018,Journalism and information,58,16,42
Master's degree,2018,Business and administration,1088,356,732
Master's degree,2018,Law,372,158,214
Master's degree,2018,Life science,133,40,93
Master's degree,2018,Physical science,66,36,30
Master's degree,2018,Mathematics and statistics,41,25,16
Master's degree,2018,Computing,76,62,14
Master's degree,2018,"Science, not specified",0,0,0
Master's degree,2018,Engineering and engineering trades,191,115,76
Master's degree,2018,Manufacturing and processing,22,11,11
Master's degree,2018,Architecture and building,52,25,27
Master's degree,2018,"Certified trades, not specified",0,0,0
Master's degree,2018,"Agriculture, forestry and fishery",15,7,8
Master's degree,2018,Veterinary,0,0,0
Master's degree,2018,Health,529,115,414
Master's degree,2018,Social services,140,7,133
Master's degree,2018,Personal services,32,7,25
Master's degree,2018,Transport services,0,0,0
Master's degree,2018,Environmental protection,5,3,2
Master's degree,2018,Security services,0,0,0
Master's degree,2018,Unknown,0,0,0
Master's degree,2019,Total,4685,1402,3283
Master's degree,2019,"Basic/broad, general programmes",0,0,0
Master's degree,2019,Literacy and numeracy,0,0,0
Master's degree,2019,Personal skills,0,0,0
Master's degree,2019,Teacher training and educational science,1047,188,859
Master's degree,2019,Arts,61,27,34
Master's degree,2019,Humanities,377,133,244
Master's degree,2019,Social and behavioural science,393,96,297
Master's degree,2019,Journalism and information,47,14,33
Master's degree,2019,Business and administration,1056,321,735
Master's degree,2019,Law,351,140,211
Master's degree,2019,Life science,166,53,113
Master's degree,2019,Physical science,62,28,34
Master's degree,2019,Mathematics and statistics,36,26,10
Master's degree,2019,Computing,63,51,12
Master's degree,2019,"Science, not specified",0,0,0
Master's degree,2019,Engineering and engineering trades,244,168,76
Master's degree,2019,Manufacturing and processing,12,5,7
Master's degree,2019,Architecture and building,62,33,29
Master's degree,2019,"Certified trades, not specified",0,0,0
Master's degree,2019,"Agriculture, forestry and fishery",17,7,10
Master's degree,2019,Veterinary,0,0,0
Master's degree,2019,Health,517,95,422
Master's degree,2019,Social services,135,6,129
Master's degree,2019,Personal services,37,10,27
Master's degree,2019,Transport services,0,0,0
Master's degree,2019,Environmental protection,2,1,1
Master's degree,2019,Security services,0,0,0
Master's degree,2019,Unknown,0,0,0
Doctoral degree,1997,Total,14,9,5
Doctoral degree,1997,"Basic/broad, general programmes",0,0,0
Doctoral degree,1997,Literacy and numeracy,0,0,0
Doctoral degree,1997,Personal skills,0,0,0
Doctoral degree,1997,Teacher training and educational science,0,0,0
Doctoral degree,1997,Arts,0,0,0
Doctoral degree,1997,Humanities,7,5,2
Doctoral degree,1997,Social and behavioural science,2,1,1
Doctoral degree,1997,Journalism and information,0,0,0
Doctoral degree,1997,Business and administration,0,0,0
Doctoral degree,1997,Law,0,0,0
Doctoral degree,1997,Life science,0,0,0
Doctoral degree,1997,Physical science,0,0,0
Doctoral degree,1997,Mathematics and statistics,0,0,0
Doctoral degree,1997,Computing,0,0,0
Doctoral degree,1997,"Science, not specified",0,0,0
Doctoral degree,1997,Engineering and engineering trades,0,0,0
Doctoral degree,1997,Manufacturing and processing,0,0,0
Doctoral degree,1997,Architecture and building,0,0,0
Doctoral degree,1997,"Certified trades, not specified",0,0,0
Doctoral degree,1997,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,1997,Veterinary,0,0,0
Doctoral degree,1997,Health,5,3,2
Doctoral degree,1997,Social services,0,0,0
Doctoral degree,1997,Personal services,0,0,0
Doctoral degree,1997,Transport services,0,0,0
Doctoral degree,1997,Environmental protection,0,0,0
Doctoral degree,1997,Security services,0,0,0
Doctoral degree,1997,Unknown,0,0,0
Doctoral degree,1998,Total,20,12,8
Doctoral degree,1998,"Basic/broad, general programmes",0,0,0
Doctoral degree,1998,Literacy and numeracy,0,0,0
Doctoral degree,1998,Personal skills,0,0,0
Doctoral degree,1998,Teacher training and educational science,0,0,0
Doctoral degree,1998,Arts,0,0,0
Doctoral degree,1998,Humanities,10,6,4
Doctoral degree,1998,Social and behavioural science,3,2,1
Doctoral degree,1998,Journalism and information,0,0,0
Doctoral degree,1998,Business and administration,0,0,0
Doctoral degree,1998,Law,0,0,0
Doctoral degree,1998,Life science,0,0,0
Doctoral degree,1998,Physical science,0,0,0
Doctoral degree,1998,Mathematics and statistics,0,0,0
Doctoral degree,1998,Computing,0,0,0
Doctoral degree,1998,"Science, not specified",0,0,0
Doctoral degree,1998,Engineering and engineering trades,0,0,0
Doctoral degree,1998,Manufacturing and processing,0,0,0
Doctoral degree,1998,Architecture and building,0,0,0
Doctoral degree,1998,"Certified trades, not specified",0,0,0
Doctoral degree,1998,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,1998,Veterinary,0,0,0
Doctoral degree,1998,Health,7,4,3
Doctoral degree,1998,Social services,0,0,0
Doctoral degree,1998,Personal services,0,0,0
Doctoral degree,1998,Transport services,0,0,0
Doctoral degree,1998,Environmental protection,0,0,0
Doctoral degree,1998,Security services,0,0,0
Doctoral degree,1998,Unknown,0,0,0
Doctoral degree,1999,Total,18,12,6
Doctoral degree,1999,"Basic/broad, general programmes",0,0,0
Doctoral degree,1999,Literacy and numeracy,0,0,0
Doctoral degree,1999,Personal skills,0,0,0
Doctoral degree,1999,Teacher training and educational science,0,0,0
Doctoral degree,1999,Arts,0,0,0
Doctoral degree,1999,Humanities,6,3,3
Doctoral degree,1999,Social and behavioural science,0,0,0
Doctoral degree,1999,Journalism and information,0,0,0
Doctoral degree,1999,Business and administration,0,0,0
Doctoral degree,1999,Law,0,0,0
Doctoral degree,1999,Life science,1,1,0
Doctoral degree,1999,Physical science,3,2,1
Doctoral degree,1999,Mathematics and statistics,0,0,0
Doctoral degree,1999,Computing,0,0,0
Doctoral degree,1999,"Science, not specified",0,0,0
Doctoral degree,1999,Engineering and engineering trades,0,0,0
Doctoral degree,1999,Manufacturing and processing,0,0,0
Doctoral degree,1999,Architecture and building,0,0,0
Doctoral degree,1999,"Certified trades, not specified",0,0,0
Doctoral degree,1999,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,1999,Veterinary,0,0,0
Doctoral degree,1999,Health,8,6,2
Doctoral degree,1999,Social services,0,0,0
Doctoral degree,1999,Personal services,0,0,0
Doctoral degree,1999,Transport services,0,0,0
Doctoral degree,1999,Environmental protection,0,0,0
Doctoral degree,1999,Security services,0,0,0
Doctoral degree,1999,Unknown,0,0,0
Doctoral degree,2000,Total,50,31,19
Doctoral degree,2000,"Basic/broad, general programmes",0,0,0
Doctoral degree,2000,Literacy and numeracy,0,0,0
Doctoral degree,2000,Personal skills,0,0,0
Doctoral degree,2000,Teacher training and educational science,0,0,0
Doctoral degree,2000,Arts,0,0,0
Doctoral degree,2000,Humanities,11,7,4
Doctoral degree,2000,Social and behavioural science,3,2,1
Doctoral degree,2000,Journalism and information,0,0,0
Doctoral degree,2000,Business and administration,1,1,0
Doctoral degree,2000,Law,0,0,0
Doctoral degree,2000,Life science,3,2,1
Doctoral degree,2000,Physical science,7,5,2
Doctoral degree,2000,Mathematics and statistics,0,0,0
Doctoral degree,2000,Computing,0,0,0
Doctoral degree,2000,"Science, not specified",0,0,0
Doctoral degree,2000,Engineering and engineering trades,1,1,0
Doctoral degree,2000,Manufacturing and processing,1,0,1
Doctoral degree,2000,Architecture and building,0,0,0
Doctoral degree,2000,"Certified trades, not specified",0,0,0
Doctoral degree,2000,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2000,Veterinary,0,0,0
Doctoral degree,2000,Health,23,13,10
Doctoral degree,2000,Social services,0,0,0
Doctoral degree,2000,Personal services,0,0,0
Doctoral degree,2000,Transport services,0,0,0
Doctoral degree,2000,Environmental protection,0,0,0
Doctoral degree,2000,Security services,0,0,0
Doctoral degree,2000,Unknown,0,0,0
Doctoral degree,2001,Total,38,17,21
Doctoral degree,2001,"Basic/broad, general programmes",0,0,0
Doctoral degree,2001,Literacy and numeracy,0,0,0
Doctoral degree,2001,Personal skills,0,0,0
Doctoral degree,2001,Teacher training and educational science,5,1,4
Doctoral degree,2001,Arts,0,0,0
Doctoral degree,2001,Humanities,11,6,5
Doctoral degree,2001,Social and behavioural science,3,1,2
Doctoral degree,2001,Journalism and information,0,0,0
Doctoral degree,2001,Business and administration,0,0,0
Doctoral degree,2001,Law,0,0,0
Doctoral degree,2001,Life science,2,2,0
Doctoral degree,2001,Physical science,3,2,1
Doctoral degree,2001,Mathematics and statistics,0,0,0
Doctoral degree,2001,Computing,0,0,0
Doctoral degree,2001,"Science, not specified",0,0,0
Doctoral degree,2001,Engineering and engineering trades,2,1,1
Doctoral degree,2001,Manufacturing and processing,1,0,1
Doctoral degree,2001,Architecture and building,0,0,0
Doctoral degree,2001,"Certified trades, not specified",0,0,0
Doctoral degree,2001,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2001,Veterinary,0,0,0
Doctoral degree,2001,Health,11,4,7
Doctoral degree,2001,Social services,0,0,0
Doctoral degree,2001,Personal services,0,0,0
Doctoral degree,2001,Transport services,0,0,0
Doctoral degree,2001,Environmental protection,0,0,0
Doctoral degree,2001,Security services,0,0,0
Doctoral degree,2001,Unknown,0,0,0
Doctoral degree,2002,Total,45,21,24
Doctoral degree,2002,"Basic/broad, general programmes",0,0,0
Doctoral degree,2002,Literacy and numeracy,0,0,0
Doctoral degree,2002,Personal skills,0,0,0
Doctoral degree,2002,Teacher training and educational science,6,3,3
Doctoral degree,2002,Arts,0,0,0
Doctoral degree,2002,Humanities,8,2,6
Doctoral degree,2002,Social and behavioural science,5,3,2
Doctoral degree,2002,Journalism and information,0,0,0
Doctoral degree,2002,Business and administration,3,3,0
Doctoral degree,2002,Law,0,0,0
Doctoral degree,2002,Life science,4,2,2
Doctoral degree,2002,Physical science,3,1,2
Doctoral degree,2002,Mathematics and statistics,0,0,0
Doctoral degree,2002,Computing,0,0,0
Doctoral degree,2002,"Science, not specified",0,0,0
Doctoral degree,2002,Engineering and engineering trades,3,2,1
Doctoral degree,2002,Manufacturing and processing,0,0,0
Doctoral degree,2002,Architecture and building,0,0,0
Doctoral degree,2002,"Certified trades, not specified",0,0,0
Doctoral degree,2002,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2002,Veterinary,0,0,0
Doctoral degree,2002,Health,13,5,8
Doctoral degree,2002,Social services,0,0,0
Doctoral degree,2002,Personal services,0,0,0
Doctoral degree,2002,Transport services,0,0,0
Doctoral degree,2002,Environmental protection,0,0,0
Doctoral degree,2002,Security services,0,0,0
Doctoral degree,2002,Unknown,0,0,0
Doctoral degree,2003,Total,51,24,27
Doctoral degree,2003,"Basic/broad, general programmes",0,0,0
Doctoral degree,2003,Literacy and numeracy,0,0,0
Doctoral degree,2003,Personal skills,0,0,0
Doctoral degree,2003,Teacher training and educational science,9,4,5
Doctoral degree,2003,Arts,0,0,0
Doctoral degree,2003,Humanities,12,4,8
Doctoral degree,2003,Social and behavioural science,4,1,3
Doctoral degree,2003,Journalism and information,0,0,0
Doctoral degree,2003,Business and administration,2,2,0
Doctoral degree,2003,Law,0,0,0
Doctoral degree,2003,Life science,1,1,0
Doctoral degree,2003,Physical science,6,4,2
Doctoral degree,2003,Mathematics and statistics,0,0,0
Doctoral degree,2003,Computing,0,0,0
Doctoral degree,2003,"Science, not specified",0,0,0
Doctoral degree,2003,Engineering and engineering trades,3,2,1
Doctoral degree,2003,Manufacturing and processing,2,0,2
Doctoral degree,2003,Architecture and building,0,0,0
Doctoral degree,2003,"Certified trades, not specified",0,0,0
Doctoral degree,2003,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2003,Veterinary,0,0,0
Doctoral degree,2003,Health,12,6,6
Doctoral degree,2003,Social services,0,0,0
Doctoral degree,2003,Personal services,0,0,0
Doctoral degree,2003,Transport services,0,0,0
Doctoral degree,2003,Environmental protection,0,0,0
Doctoral degree,2003,Security services,0,0,0
Doctoral degree,2003,Unknown,0,0,0
Doctoral degree,2004,Total,134,55,79
Doctoral degree,2004,"Basic/broad, general programmes",0,0,0
Doctoral degree,2004,Literacy and numeracy,0,0,0
Doctoral degree,2004,Personal skills,0,0,0
Doctoral degree,2004,Teacher training and educational science,19,5,14
Doctoral degree,2004,Arts,0,0,0
Doctoral degree,2004,Humanities,22,6,16
Doctoral degree,2004,Social and behavioural science,17,9,8
Doctoral degree,2004,Journalism and information,0,0,0
Doctoral degree,2004,Business and administration,2,2,0
Doctoral degree,2004,Law,0,0,0
Doctoral degree,2004,Life science,14,7,7
Doctoral degree,2004,Physical science,15,10,5
Doctoral degree,2004,Mathematics and statistics,0,0,0
Doctoral degree,2004,Computing,1,0,1
Doctoral degree,2004,"Science, not specified",0,0,0
Doctoral degree,2004,Engineering and engineering trades,4,2,2
Doctoral degree,2004,Manufacturing and processing,3,0,3
Doctoral degree,2004,Architecture and building,1,1,0
Doctoral degree,2004,"Certified trades, not specified",0,0,0
Doctoral degree,2004,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2004,Veterinary,0,0,0
Doctoral degree,2004,Health,36,13,23
Doctoral degree,2004,Social services,0,0,0
Doctoral degree,2004,Personal services,0,0,0
Doctoral degree,2004,Transport services,0,0,0
Doctoral degree,2004,Environmental protection,0,0,0
Doctoral degree,2004,Security services,0,0,0
Doctoral degree,2004,Unknown,0,0,0
Doctoral degree,2005,Total,156,65,91
Doctoral degree,2005,"Basic/broad, general programmes",0,0,0
Doctoral degree,2005,Literacy and numeracy,0,0,0
Doctoral degree,2005,Personal skills,0,0,0
Doctoral degree,2005,Teacher training and educational science,19,5,14
Doctoral degree,2005,Arts,0,0,0
Doctoral degree,2005,Humanities,26,7,19
Doctoral degree,2005,Social and behavioural science,23,12,11
Doctoral degree,2005,Journalism and information,0,0,0
Doctoral degree,2005,Business and administration,2,2,0
Doctoral degree,2005,Law,2,1,1
Doctoral degree,2005,Life science,17,7,10
Doctoral degree,2005,Physical science,17,14,3
Doctoral degree,2005,Mathematics and statistics,0,0,0
Doctoral degree,2005,Computing,2,1,1
Doctoral degree,2005,"Science, not specified",0,0,0
Doctoral degree,2005,Engineering and engineering trades,4,4,0
Doctoral degree,2005,Manufacturing and processing,2,0,2
Doctoral degree,2005,Architecture and building,0,0,0
Doctoral degree,2005,"Certified trades, not specified",0,0,0
Doctoral degree,2005,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2005,Veterinary,0,0,0
Doctoral degree,2005,Health,42,12,30
Doctoral degree,2005,Social services,0,0,0
Doctoral degree,2005,Personal services,0,0,0
Doctoral degree,2005,Transport services,0,0,0
Doctoral degree,2005,Environmental protection,0,0,0
Doctoral degree,2005,Security services,0,0,0
Doctoral degree,2005,Unknown,0,0,0
Doctoral degree,2006,Total,201,86,115
Doctoral degree,2006,"Basic/broad, general programmes",0,0,0
Doctoral degree,2006,Literacy and numeracy,0,0,0
Doctoral degree,2006,Personal skills,0,0,0
Doctoral degree,2006,Teacher training and educational science,17,3,14
Doctoral degree,2006,Arts,0,0,0
Doctoral degree,2006,Humanities,38,17,21
Doctoral degree,2006,Social and behavioural science,28,14,14
Doctoral degree,2006,Journalism and information,0,0,0
Doctoral degree,2006,Business and administration,1,1,0
Doctoral degree,2006,Law,4,2,2
Doctoral degree,2006,Life science,21,8,13
Doctoral degree,2006,Physical science,29,18,11
Doctoral degree,2006,Mathematics and statistics,2,1,1
Doctoral degree,2006,Computing,2,1,1
Doctoral degree,2006,"Science, not specified",0,0,0
Doctoral degree,2006,Engineering and engineering trades,6,6,0
Doctoral degree,2006,Manufacturing and processing,3,0,3
Doctoral degree,2006,Architecture and building,1,1,0
Doctoral degree,2006,"Certified trades, not specified",0,0,0
Doctoral degree,2006,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2006,Veterinary,0,0,0
Doctoral degree,2006,Health,47,14,33
Doctoral degree,2006,Social services,2,0,2
Doctoral degree,2006,Personal services,0,0,0
Doctoral degree,2006,Transport services,0,0,0
Doctoral degree,2006,Environmental protection,0,0,0
Doctoral degree,2006,Security services,0,0,0
Doctoral degree,2006,Unknown,0,0,0
Doctoral degree,2007,Total,264,114,150
Doctoral degree,2007,"Basic/broad, general programmes",0,0,0
Doctoral degree,2007,Literacy and numeracy,0,0,0
Doctoral degree,2007,Personal skills,0,0,0
Doctoral degree,2007,Teacher training and educational science,29,9,20
Doctoral degree,2007,Arts,0,0,0
Doctoral degree,2007,Humanities,35,12,23
Doctoral degree,2007,Social and behavioural science,33,15,18
Doctoral degree,2007,Journalism and information,0,0,0
Doctoral degree,2007,Business and administration,3,3,0
Doctoral degree,2007,Law,3,1,2
Doctoral degree,2007,Life science,31,14,17
Doctoral degree,2007,Physical science,42,27,15
Doctoral degree,2007,Mathematics and statistics,5,4,1
Doctoral degree,2007,Computing,2,1,1
Doctoral degree,2007,"Science, not specified",0,0,0
Doctoral degree,2007,Engineering and engineering trades,12,9,3
Doctoral degree,2007,Manufacturing and processing,6,1,5
Doctoral degree,2007,Architecture and building,2,1,1
Doctoral degree,2007,"Certified trades, not specified",0,0,0
Doctoral degree,2007,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2007,Veterinary,0,0,0
Doctoral degree,2007,Health,58,17,41
Doctoral degree,2007,Social services,2,0,2
Doctoral degree,2007,Personal services,1,0,1
Doctoral degree,2007,Transport services,0,0,0
Doctoral degree,2007,Environmental protection,0,0,0
Doctoral degree,2007,Security services,0,0,0
Doctoral degree,2007,Unknown,0,0,0
Doctoral degree,2008,Total,282,117,165
Doctoral degree,2008,"Basic/broad, general programmes",0,0,0
Doctoral degree,2008,Literacy and numeracy,0,0,0
Doctoral degree,2008,Personal skills,0,0,0
Doctoral degree,2008,Teacher training and educational science,28,4,24
Doctoral degree,2008,Arts,0,0,0
Doctoral degree,2008,Humanities,40,16,24
Doctoral degree,2008,Social and behavioural science,41,21,20
Doctoral degree,2008,Journalism and information,2,0,2
Doctoral degree,2008,Business and administration,6,3,3
Doctoral degree,2008,Law,3,3,0
Doctoral degree,2008,Life science,33,14,19
Doctoral degree,2008,Physical science,42,28,14
Doctoral degree,2008,Mathematics and statistics,8,4,4
Doctoral degree,2008,Computing,1,0,1
Doctoral degree,2008,"Science, not specified",0,0,0
Doctoral degree,2008,Engineering and engineering trades,8,4,4
Doctoral degree,2008,Manufacturing and processing,5,1,4
Doctoral degree,2008,Architecture and building,1,1,0
Doctoral degree,2008,"Certified trades, not specified",0,0,0
Doctoral degree,2008,"Agriculture, forestry and fishery",3,1,2
Doctoral degree,2008,Veterinary,0,0,0
Doctoral degree,2008,Health,57,16,41
Doctoral degree,2008,Social services,3,0,3
Doctoral degree,2008,Personal services,1,1,0
Doctoral degree,2008,Transport services,0,0,0
Doctoral degree,2008,Environmental protection,0,0,0
Doctoral degree,2008,Security services,0,0,0
Doctoral degree,2008,Unknown,0,0,0
Doctoral degree,2009,Total,312,134,178
Doctoral degree,2009,"Basic/broad, general programmes",0,0,0
Doctoral degree,2009,Literacy and numeracy,0,0,0
Doctoral degree,2009,Personal skills,0,0,0
Doctoral degree,2009,Teacher training and educational science,47,17,30
Doctoral degree,2009,Arts,0,0,0
Doctoral degree,2009,Humanities,56,22,34
Doctoral degree,2009,Social and behavioural science,36,16,20
Doctoral degree,2009,Journalism and information,2,0,2
Doctoral degree,2009,Business and administration,8,4,4
Doctoral degree,2009,Law,4,2,2
Doctoral degree,2009,Life science,28,11,17
Doctoral degree,2009,Physical science,34,24,10
Doctoral degree,2009,Mathematics and statistics,5,4,1
Doctoral degree,2009,Computing,7,6,1
Doctoral degree,2009,"Science, not specified",0,0,0
Doctoral degree,2009,Engineering and engineering trades,9,4,5
Doctoral degree,2009,Manufacturing and processing,6,3,3
