"Income and taxes","Unit","Education","Sex","Age","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Women","Total",1116,1244,1266,1271,1340,1427,1574,1724,2014,2301,2524,2848,3099,3392,3502,4104,4659,5510,5165,5222,4587,4805,5034,5272,5638,6008,6517,7111,7288
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Bachelor�s or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Master�s or equivalent level","Total","Total",2595,2814,2865,2841,2897,2979,3148,3357,3784,4268,4626,5085,5518,6089,6383,7069,8067,10719,9310,8441,7337,7654,7971,8373,8761,9297,9861,10532,10629
"Total annual income","Mean - total","- Master�s or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Master�s or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Master�s or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Master�s or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Master�s or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Master�s or equivalent level","Men","Total",2880,3134,3197,3186,3259,3363,3568,3770,4251,4801,5194,5734,6256,6829,7182,8036,9373,12662,10737,9641,8361,8774,9199,9708,10235,10866,11553,12234,12294
"Total annual income","Mean - total","- Master�s or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Master�s or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Master�s or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Master�s or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Master�s or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Master�s or equivalent level","Women","Total",1573,1727,1792,1784,1849,1920,2057,2314,2678,3071,3399,3756,4090,4709,4979,5470,6042,7926,7392,6921,6118,6402,6672,7040,7367,7872,8395,9096,9280
"Total annual income","Mean - total","- Master�s or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","- Master�s or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Master�s or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Master�s or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","- Master�s or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","Doctoral or equivalent level","Total","Total",2640,2952,2934,2951,3093,3227,3450,3692,4371,4864,5195,5805,6310,6895,7116,7784,8516,12150,10788,10357,9141,9791,9940,11126,11501,12153,12655,13016,13304
"Total annual income","Mean - total","Doctoral or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","Doctoral or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Doctoral or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Doctoral or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Doctoral or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","Doctoral or equivalent level","Men","Total",2741,3088,3074,3120,3283,3419,3624,3908,4655,5182,5504,6189,6656,7375,7678,8380,9041,12414,11394,11261,9910,10400,10787,11984,12915,13498,13799,14299,14625
"Total annual income","Mean - total","Doctoral or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","Doctoral or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Doctoral or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Doctoral or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Doctoral or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","Doctoral or equivalent level","Women","Total",1892,2037,2032,1968,2073,2204,2555,2714,3082,3467,3891,4318,5053,5294,5340,5942,6995,11424,9244,8195,7369,8411,8140,9400,8845,9790,10674,10924,11235
"Total annual income","Mean - total","Doctoral or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Mean - total","Doctoral or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Doctoral or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Doctoral or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Doctoral or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Median - total","Total","Total","Total",874,957,965,963,985,1038,1114,1208,1351,1507,1664,1854,1958,2065,2235,2449,2738,3058,3419,3366,3176,3382,3552,3757,4008,4298,4737,5156,5466
"Total annual income","Median - total","Total","Total","16 - 24 years",515,556,541,527,543,579,625,675,729,789,889,899,905,921,948,1038,1113,1232,1295,1173,1189,1342,1454,1572,1658,1777,1965,2183,2316
"Total annual income","Median - total","Total","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Total","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Total","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Total","Total","75 years and over",663,737,757,782,780,805,843,900,978,1068,1156,1253,1344,1418,1521,1630,1799,2040,2529,2529,2401,2531,2640,2782,2988,3132,3423,4190,4455
"Total annual income","Median - total","Total","Men","Total",1282,1389,1373,1354,1357,1424,1542,1683,1873,2074,2273,2482,2561,2659,2863,3134,3466,3821,4122,3928,3714,3954,4153,4395,4644,4977,5492,5869,6194
"Total annual income","Median - total","Total","Men","16 - 24 years",621,666,628,605,613,645,694,734,804,884,1007,1005,978,984,1016,1145,1232,1346,1352,1173,1189,1339,1456,1581,1650,1795,1997,2244,2391
"Total annual income","Median - total","Total","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Total","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Total","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Total","Men","75 years and over",717,797,811,836,831,860,902,963,1041,1140,1243,1355,1444,1490,1606,1723,1911,2180,2700,2674,2509,2623,2737,2905,3149,3297,3598,4327,4600
"Total annual income","Median - total","Total","Women","Total",677,744,768,779,801,851,910,982,1094,1208,1329,1499,1599,1711,1852,2011,2252,2534,2927,3002,2847,3032,3171,3351,3590,3850,4241,4664,4944
"Total annual income","Median - total","Total","Women","16 - 24 years",440,476,474,468,485,524,568,615,674,728,809,828,851,878,897,962,1030,1154,1253,1173,1189,1344,1451,1564,1663,1755,1940,2129,2252
"Total annual income","Median - total","Total","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Total","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Total","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Total","Women","75 years and over",634,716,734,762,756,779,817,872,948,1023,1096,1185,1277,1374,1469,1573,1732,1970,2427,2438,2324,2481,2569,2708,2887,3021,3300,4099,4355
"Total annual income","Median - total","Basic education","Total","Total",718,788,801,804,819,858,908,974,1068,1169,1279,1420,1481,1571,1693,1819,2010,2241,2584,2610,2483,2663,2797,2951,3129,3295,3595,4114,4365
"Total annual income","Median - total","Basic education","Total","16 - 24 years",498,537,510,494,510,533,578,629,677,733,831,824,834,850,853,934,990,1104,1132,1006,1008,1142,1226,1311,1332,1420,1564,1704,1719
"Total annual income","Median - total","Basic education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Basic education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Basic education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Basic education","Total","75 years and over",645,721,739,763,760,784,820,874,945,1019,1093,1182,1270,1351,1446,1544,1700,1941,2372,2408,2294,2445,2530,2662,2838,2947,3216,3998,4234
"Total annual income","Median - total","Basic education","Men","Total",961,1044,1022,1006,1009,1050,1118,1207,1323,1457,1612,1768,1801,1855,1997,2180,2421,2674,2933,2804,2650,2887,3060,3256,3437,3646,4031,4493,4790
"Total annual income","Median - total","Basic education","Men","16 - 24 years",605,647,599,578,588,606,660,701,745,816,942,924,903,906,917,1035,1087,1194,1195,1023,1026,1164,1264,1352,1375,1502,1669,1851,1905
"Total annual income","Median - total","Basic education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Basic education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Basic education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Basic education","Men","75 years and over",684,752,766,784,783,810,847,898,967,1053,1144,1250,1338,1375,1473,1581,1750,1996,2453,2485,2362,2487,2590,2738,2923,3039,3308,4065,4310
"Total annual income","Median - total","Basic education","Women","Total",636,703,724,731,749,787,830,888,975,1065,1158,1296,1364,1469,1582,1683,1849,2070,2427,2519,2411,2565,2676,2811,2969,3109,3373,3917,4137
"Total annual income","Median - total","Basic education","Women","16 - 24 years",417,452,439,425,438,472,510,555,606,665,752,753,774,792,788,850,905,1023,1077,986,990,1118,1190,1270,1289,1343,1470,1573,1557
"Total annual income","Median - total","Basic education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Basic education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Basic education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Basic education","Women","75 years and over",629,709,728,753,749,774,807,862,935,1006,1073,1157,1249,1341,1432,1530,1685,1917,2345,2378,2272,2432,2516,2635,2795,2922,3182,3970,4205
"Total annual income","Median - total","Upper secondary education","Total","Total",1108,1197,1192,1175,1182,1227,1327,1449,1611,1790,1961,2121,2225,2321,2476,2704,3011,3315,3619,3498,3293,3454,3582,3771,4024,4306,4741,5111,5376
"Total annual income","Median - total","Upper secondary education","Total","16 - 24 years",557,599,604,591,600,649,703,759,836,910,1017,1036,1038,1056,1106,1209,1335,1462,1592,1439,1456,1593,1732,1888,2060,2279,2542,2766,2911
"Total annual income","Median - total","Upper secondary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Upper secondary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Upper secondary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Upper secondary education","Total","75 years and over",767,849,862,901,882,919,952,1019,1098,1213,1317,1425,1514,1580,1699,1815,2014,2278,2811,2758,2564,2680,2803,2979,3234,3390,3703,4428,4688
"Total annual income","Median - total","Upper secondary education","Men","Total",1453,1583,1571,1543,1535,1601,1737,1892,2099,2310,2520,2713,2777,2876,3065,3352,3678,4039,4318,4090,3851,4044,4186,4437,4693,5032,5542,5878,6160
"Total annual income","Median - total","Upper secondary education","Men","16 - 24 years",661,710,707,673,663,707,770,837,950,1022,1181,1179,1130,1151,1218,1373,1542,1669,1754,1475,1490,1635,1759,1931,2117,2340,2613,2837,2975
"Total annual income","Median - total","Upper secondary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Upper secondary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Upper secondary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Median - total","Upper secondary education","Men","75 years and over",777,869,876,913,893,928,954,1027,1100,1213,1316,1426,1501,1572,1694,1798,1992,2249,2767,2738,2545,2663,2771,2946,3192,3335,3642,4357,4608
"Total annual income","Median - total","Upper secondary education","Women","Total",719,777,796,796,817,874,944,1030,1156,1280,1417,1563,1677,1765,1886,2050,2289,2574,2899,2939,2797,2957,3060,3218,3452,3720,4097,4444,4687
"Total annual income","Median - total","Upper secondary education","Women","16 - 24 years",488,528,543,543,559,603,658,715,775,839,934,963,979,1005,1031,1120,1213,1354,1498,1419,1425,1569,1718,1871,2035,2237,2509,2707,2859
