"ISCED level","Type of education","Degrees","Year","Narrow field of study","Total","Males","Females"
"Total","Total","Total","2015","Journalism and information",221,61,160
"Total","Total","Total","2015","Business and administration",2955,1206,1749
"Total","Total","Total","2015","Law",1050,467,583
"Total","Total","Total","2015","Life science",490,168,322
"Total","Total","Total","2015","Physical science",365,218,147
"Total","Total","Total","2015","Mathematics and statistics",105,71,34
"Total","Total","Total","2015","Computing",1215,937,278
"Total","Total","Total","2015","Science, not specified",0,0,0
"Total","Total","Total","2015","Engineering and engineering trades",1244,817,427
"Total","Total","Total","2015","Manufacturing and processing",53,18,35
"Total","Total","Total","2015","Architecture and building",276,155,121
"Total","Total","Total","2015","Certified trades, not specified",0,0,0
"Total","Total","Total","2015","Agriculture, forestry and fishery",233,106,127
"Total","Total","Total","2015","Veterinary",0,0,0
"Total","Total","Total","2015","Health",2136,356,1780
"Total","Total","Total","2015","Social services",508,29,479
"Total","Total","Total","2015","Personal services",512,131,381
"Total","Total","Total","2015","Transport services",8,5,3
"Total","Total","Total","2015","Environmental protection",5,2,3
"Total","Total","Total","2015","Security services",0,0,0
"Total","Total","Total","2015","Unknown",0,0,0
"Total","Total","Total","2016","Total",18051,6563,11488
"Total","Total","Total","2016","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2016","Literacy and numeracy",0,0,0
"Total","Total","Total","2016","Personal skills",0,0,0
"Total","Total","Total","2016","Teacher training and educational science",2177,442,1735
"Total","Total","Total","2016","Arts",539,195,344
"Total","Total","Total","2016","Humanities",1817,664,1153
"Total","Total","Total","2016","Social and behavioural science",2338,643,1695
"Total","Total","Total","2016","Journalism and information",234,67,167
"Total","Total","Total","2016","Business and administration",2783,1127,1656
"Total","Total","Total","2016","Law",929,398,531
"Total","Total","Total","2016","Life science",472,166,306
"Total","Total","Total","2016","Physical science",356,202,154
"Total","Total","Total","2016","Mathematics and statistics",129,88,41
"Total","Total","Total","2016","Computing",1184,893,291
"Total","Total","Total","2016","Science, not specified",0,0,0
"Total","Total","Total","2016","Engineering and engineering trades",1277,830,447
"Total","Total","Total","2016","Manufacturing and processing",46,15,31
"Total","Total","Total","2016","Architecture and building",278,148,130
"Total","Total","Total","2016","Certified trades, not specified",0,0,0
"Total","Total","Total","2016","Agriculture, forestry and fishery",221,97,124
"Total","Total","Total","2016","Veterinary",0,0,0
"Total","Total","Total","2016","Health",2200,365,1835
"Total","Total","Total","2016","Social services",445,37,408
"Total","Total","Total","2016","Personal services",501,122,379
"Total","Total","Total","2016","Transport services",1,1,0
"Total","Total","Total","2016","Environmental protection",6,1,5
"Total","Total","Total","2016","Security services",118,62,56
"Total","Total","Total","2016","Unknown",0,0,0
"Total","Total","Total","2017","Total",17914,6536,11378
"Total","Total","Total","2017","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2017","Literacy and numeracy",0,0,0
"Total","Total","Total","2017","Personal skills",0,0,0
"Total","Total","Total","2017","Teacher training and educational science",2222,449,1773
"Total","Total","Total","2017","Arts",491,177,314
"Total","Total","Total","2017","Humanities",1734,650,1084
"Total","Total","Total","2017","Social and behavioural science",2426,675,1751
"Total","Total","Total","2017","Journalism and information",209,68,141
"Total","Total","Total","2017","Business and administration",2701,1103,1598
"Total","Total","Total","2017","Law",876,359,517
"Total","Total","Total","2017","Life science",481,181,300
"Total","Total","Total","2017","Physical science",339,170,169
"Total","Total","Total","2017","Mathematics and statistics",138,89,49
"Total","Total","Total","2017","Computing",1122,848,274
"Total","Total","Total","2017","Science, not specified",0,0,0
"Total","Total","Total","2017","Engineering and engineering trades",1310,851,459
"Total","Total","Total","2017","Manufacturing and processing",53,12,41
"Total","Total","Total","2017","Architecture and building",268,156,112
"Total","Total","Total","2017","Certified trades, not specified",0,0,0
"Total","Total","Total","2017","Agriculture, forestry and fishery",216,91,125
"Total","Total","Total","2017","Veterinary",0,0,0
"Total","Total","Total","2017","Health",2257,375,1882
"Total","Total","Total","2017","Social services",400,33,367
"Total","Total","Total","2017","Personal services",445,133,312
"Total","Total","Total","2017","Transport services",0,0,0
"Total","Total","Total","2017","Environmental protection",5,2,3
"Total","Total","Total","2017","Security services",221,114,107
"Total","Total","Total","2017","Unknown",0,0,0
"Total","Total","Total","2018","Total",18346,6472,11874
"Total","Total","Total","2018","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2018","Literacy and numeracy",0,0,0
"Total","Total","Total","2018","Personal skills",0,0,0
"Total","Total","Total","2018","Teacher training and educational science",2427,459,1968
"Total","Total","Total","2018","Arts",470,163,307
"Total","Total","Total","2018","Humanities",1802,629,1173
"Total","Total","Total","2018","Social and behavioural science",2576,742,1834
"Total","Total","Total","2018","Journalism and information",219,71,148
"Total","Total","Total","2018","Business and administration",2644,1031,1613
"Total","Total","Total","2018","Law",895,367,528
"Total","Total","Total","2018","Life science",473,161,312
"Total","Total","Total","2018","Physical science",348,189,159
"Total","Total","Total","2018","Mathematics and statistics",135,86,49
"Total","Total","Total","2018","Computing",1086,818,268
"Total","Total","Total","2018","Science, not specified",0,0,0
"Total","Total","Total","2018","Engineering and engineering trades",1323,835,488
"Total","Total","Total","2018","Manufacturing and processing",57,20,37
"Total","Total","Total","2018","Architecture and building",290,153,137
"Total","Total","Total","2018","Certified trades, not specified",0,0,0
"Total","Total","Total","2018","Agriculture, forestry and fishery",213,93,120
"Total","Total","Total","2018","Veterinary",0,0,0
"Total","Total","Total","2018","Health",2333,385,1948
"Total","Total","Total","2018","Social services",384,30,354
"Total","Total","Total","2018","Personal services",360,103,257
"Total","Total","Total","2018","Transport services",2,1,1
"Total","Total","Total","2018","Environmental protection",7,4,3
"Total","Total","Total","2018","Security services",302,132,170
"Total","Total","Total","2018","Unknown",0,0,0
"Total","Total","Total","2019","Total",19238,6707,12531
"Total","Total","Total","2019","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2019","Literacy and numeracy",0,0,0
"Total","Total","Total","2019","Personal skills",0,0,0
"Total","Total","Total","2019","Teacher training and educational science",2829,616,2213
"Total","Total","Total","2019","Arts",486,181,305
"Total","Total","Total","2019","Humanities",1765,631,1134
"Total","Total","Total","2019","Social and behavioural science",2792,827,1965
"Total","Total","Total","2019","Journalism and information",207,61,146
"Total","Total","Total","2019","Business and administration",2669,1048,1621
"Total","Total","Total","2019","Law",886,348,538
"Total","Total","Total","2019","Life science",510,170,340
"Total","Total","Total","2019","Physical science",324,160,164
"Total","Total","Total","2019","Mathematics and statistics",125,82,43
"Total","Total","Total","2019","Computing",1042,779,263
"Total","Total","Total","2019","Science, not specified",0,0,0
"Total","Total","Total","2019","Engineering and engineering trades",1350,913,437
"Total","Total","Total","2019","Manufacturing and processing",53,16,37
"Total","Total","Total","2019","Architecture and building",332,159,173
"Total","Total","Total","2019","Certified trades, not specified",0,0,0
"Total","Total","Total","2019","Agriculture, forestry and fishery",210,76,134
"Total","Total","Total","2019","Veterinary",0,0,0
"Total","Total","Total","2019","Health",2612,379,2233
"Total","Total","Total","2019","Social services",414,25,389
"Total","Total","Total","2019","Personal services",293,83,210
"Total","Total","Total","2019","Transport services",6,4,2
"Total","Total","Total","2019","Environmental protection",3,1,2
"Total","Total","Total","2019","Security services",330,148,182
"Total","Total","Total","2019","Unknown",0,0,0
"Total","Total","Associate & diploma degree","1997","Total",0,0,0
"Total","Total","Associate & diploma degree","1997","Basic/broad, general programmes",0,0,0
"Total","Total","Associate & diploma degree","1997","Literacy and numeracy",0,0,0
"Total","Total","Associate & diploma degree","1997","Personal skills",0,0,0
"Total","Total","Associate & diploma degree","1997","Teacher training and educational science",0,0,0
"Total","Total","Associate & diploma degree","1997","Arts",0,0,0
"Total","Total","Associate & diploma degree","1997","Humanities",0,0,0
"Total","Total","Associate & diploma degree","1997","Social and behavioural science",0,0,0
"Total","Total","Associate & diploma degree","1997","Journalism and information",0,0,0
"Total","Total","Associate & diploma degree","1997","Business and administration",0,0,0
"Total","Total","Associate & diploma degree","1997","Law",0,0,0
"Total","Total","Associate & diploma degree","1997","Life science",0,0,0
"Total","Total","Associate & diploma degree","1997","Physical science",0,0,0
"Total","Total","Associate & diploma degree","1997","Mathematics and statistics",0,0,0
"Total","Total","Associate & diploma degree","1997","Computing",0,0,0
"Total","Total","Associate & diploma degree","1997","Science, not specified",0,0,0
"Total","Total","Associate & diploma degree","1997","Engineering and engineering trades",0,0,0
"Total","Total","Associate & diploma degree","1997","Manufacturing and processing",0,0,0
"Total","Total","Associate & diploma degree","1997","Architecture and building",0,0,0
"Total","Total","Associate & diploma degree","1997","Certified trades, not specified",0,0,0
"Total","Total","Associate & diploma degree","1997","Agriculture, forestry and fishery",0,0,0
"Total","Total","Associate & diploma degree","1997","Veterinary",0,0,0
"Total","Total","Associate & diploma degree","1997","Health",0,0,0
"Total","Total","Associate & diploma degree","1997","Social services",0,0,0
"Total","Total","Associate & diploma degree","1997","Personal services",0,0,0
"Total","Total","Associate & diploma degree","1997","Transport services",0,0,0
"Total","Total","Associate & diploma degree","1997","Environmental protection",0,0,0
"Total","Total","Associate & diploma degree","1997","Security services",0,0,0
"Total","Total","Associate & diploma degree","1997","Unknown",0,0,0
"Total","Total","Associate & diploma degree","1998","Total",0,0,0
"Total","Total","Associate & diploma degree","1998","Basic/broad, general programmes",0,0,0
"Total","Total","Associate & diploma degree","1998","Literacy and numeracy",0,0,0
