Year,Sex,Age,Education,Income and taxes,Unit,Value
1990,Women,16 - 24 years,Tertiary education,Income from work,Median - total,532000.0
1990,Women,75 years and over,Tertiary education,Income from work,Median - total,0.0
1990,Total,Total,Short-cycle tertiary education,Income from work,Median - total,1040000.0
1990,Men,Total,Short-cycle tertiary education,Income from work,Median - total,1617000.0
1990,Women,Total,Short-cycle tertiary education,Income from work,Median - total,902000.0
1990,Total,Total,Bachelor's or equivalent level,Income from work,Median - total,1319000.0
1990,Men,Total,Bachelor's or equivalent level,Income from work,Median - total,1851000.0
1990,Women,Total,Bachelor's or equivalent level,Income from work,Median - total,996000.0
1990,Total,Total,Master's or equivalent level,Income from work,Median - total,2077000.0
1990,Men,Total,Master's or equivalent level,Income from work,Median - total,2268000.0
1990,Women,Total,Master's or equivalent level,Income from work,Median - total,1318000.0
1990,Total,Total,Doctoral or equivalent level,Income from work,Median - total,2268000.0
1990,Men,Total,Doctoral or equivalent level,Income from work,Median - total,2393000.0
1990,Women,Total,Doctoral or equivalent level,Income from work,Median - total,1597000.0
1990,Total,Total,Total,Income from work,Number - total,171425000.0
1990,Total,16 - 24 years,Total,Income from work,Number - total,34665000.0
1990,Total,75 years and over,Total,Income from work,Number - total,11051000.0
1990,Men,Total,Total,Income from work,Number - total,85044000.0
1990,Men,16 - 24 years,Total,Income from work,Number - total,17700000.0
1990,Men,75 years and over,Total,Income from work,Number - total,4535000.0
1990,Women,Total,Total,Income from work,Number - total,86381000.0
1990,Women,16 - 24 years,Total,Income from work,Number - total,16965000.0
1990,Women,75 years and over,Total,Income from work,Number - total,6516000.0
1990,Total,Total,Basic education,Income from work,Number - total,93452000.0
1990,Total,16 - 24 years,Basic education,Income from work,Number - total,24190000.0
1990,Total,75 years and over,Basic education,Income from work,Number - total,8876000.0
1990,Men,Total,Basic education,Income from work,Number - total,38208000.0
1990,Men,16 - 24 years,Basic education,Income from work,Number - total,12868000.0
1990,Men,75 years and over,Basic education,Income from work,Number - total,2951000.0
1990,Women,Total,Basic education,Income from work,Number - total,55244000.0
1990,Women,16 - 24 years,Basic education,Income from work,Number - total,11322000.0
1990,Women,75 years and over,Basic education,Income from work,Number - total,5925000.0
1990,Total,Total,Upper secondary education,Income from work,Number - total,59420000.0
1990,Total,16 - 24 years,Upper secondary education,Income from work,Number - total,10009000.0
1990,Total,75 years and over,Upper secondary education,Income from work,Number - total,1937000.0
1990,Men,Total,Upper secondary education,Income from work,Number - total,36511000.0
1990,Men,16 - 24 years,Upper secondary education,Income from work,Number - total,4626000.0
1990,Men,75 years and over,Upper secondary education,Income from work,Number - total,1389000.0
1990,Women,Total,Upper secondary education,Income from work,Number - total,22909000.0
1990,Women,16 - 24 years,Upper secondary education,Income from work,Number - total,5383000.0
1990,Women,75 years and over,Upper secondary education,Income from work,Number - total,548000.0
1990,Total,Total,Upper secondary education: vocational,Income from work,Number - total,43660000.0
1990,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Number - total,3156000.0
1990,Total,75 years and over,Upper secondary education: vocational,Income from work,Number - total,1898000.0
1990,Men,Total,Upper secondary education: vocational,Income from work,Number - total,30150000.0
1990,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Number - total,1763000.0
1990,Men,75 years and over,Upper secondary education: vocational,Income from work,Number - total,1365000.0
1990,Women,Total,Upper secondary education: vocational,Income from work,Number - total,13510000.0
1990,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Number - total,1393000.0
1990,Women,75 years and over,Upper secondary education: vocational,Income from work,Number - total,533000.0
1990,Total,Total,Upper secondary education: general,Income from work,Number - total,13820000.0
1990,Total,16 - 24 years,Upper secondary education: general,Income from work,Number - total,6248000.0
1990,Total,75 years and over,Upper secondary education: general,Income from work,Number - total,39000.0
1990,Men,Total,Upper secondary education: general,Income from work,Number - total,5655000.0
1990,Men,16 - 24 years,Upper secondary education: general,Income from work,Number - total,2604000.0
1990,Men,75 years and over,Upper secondary education: general,Income from work,Number - total,24000.0
1990,Women,Total,Upper secondary education: general,Income from work,Number - total,8165000.0
1990,Women,16 - 24 years,Upper secondary education: general,Income from work,Number - total,3644000.0
1990,Women,75 years and over,Upper secondary education: general,Income from work,Number - total,15000.0
1990,Total,Total,Tertiary education,Income from work,Number - total,18504000.0
1990,Total,16 - 24 years,Tertiary education,Income from work,Number - total,441000.0
1990,Total,75 years and over,Tertiary education,Income from work,Number - total,232000.0
1990,Men,Total,Tertiary education,Income from work,Number - total,10300000.0
1990,Men,16 - 24 years,Tertiary education,Income from work,Number - total,192000.0
1990,Men,75 years and over,Tertiary education,Income from work,Number - total,194000.0
1990,Women,Total,Tertiary education,Income from work,Number - total,8204000.0
1990,Women,16 - 24 years,Tertiary education,Income from work,Number - total,249000.0
1990,Women,75 years and over,Tertiary education,Income from work,Number - total,38000.0
1990,Total,Total,Short-cycle tertiary education,Income from work,Number - total,2664000.0
1990,Men,Total,Short-cycle tertiary education,Income from work,Number - total,819000.0
1990,Women,Total,Short-cycle tertiary education,Income from work,Number - total,1845000.0
1990,Total,Total,Bachelor's or equivalent level,Income from work,Number - total,8314000.0
1990,Men,Total,Bachelor's or equivalent level,Income from work,Number - total,3831000.0
1990,Women,Total,Bachelor's or equivalent level,Income from work,Number - total,4483000.0
1990,Total,Total,Master's or equivalent level,Income from work,Number - total,4935000.0
1990,Men,Total,Master's or equivalent level,Income from work,Number - total,3858000.0
1990,Women,Total,Master's or equivalent level,Income from work,Number - total,1077000.0
1990,Total,Total,Doctoral or equivalent level,Income from work,Number - total,605000.0
1990,Men,Total,Doctoral or equivalent level,Income from work,Number - total,533000.0
1990,Women,Total,Doctoral or equivalent level,Income from work,Number - total,72000.0
1990,Total,Total,Total,Income from work,Standard deviation - total,886000.0
1990,Total,16 - 24 years,Total,Income from work,Standard deviation - total,483000.0
1990,Total,75 years and over,Total,Income from work,Standard deviation - total,225000.0
1990,Men,Total,Total,Income from work,Standard deviation - total,1031000.0
1990,Men,16 - 24 years,Total,Income from work,Standard deviation - total,572000.0
1990,Men,75 years and over,Total,Income from work,Standard deviation - total,322000.0
1990,Women,Total,Total,Income from work,Standard deviation - total,507000.0
1990,Women,16 - 24 years,Total,Income from work,Standard deviation - total,308000.0
1990,Women,75 years and over,Total,Income from work,Standard deviation - total,107000.0
1990,Total,Total,Basic education,Income from work,Standard deviation - total,659000.0
1990,Total,16 - 24 years,Basic education,Income from work,Standard deviation - total,482000.0
1990,Total,75 years and over,Basic education,Income from work,Standard deviation - total,179000.0
1990,Men,Total,Basic education,Income from work,Standard deviation - total,813000.0
1990,Men,16 - 24 years,Basic education,Income from work,Standard deviation - total,570000.0
1990,Men,75 years and over,Basic education,Income from work,Standard deviation - total,267000.0
1990,Women,Total,Basic education,Income from work,Standard deviation - total,427000.0
1990,Women,16 - 24 years,Basic education,Income from work,Standard deviation - total,282000.0
1990,Women,75 years and over,Basic education,Income from work,Standard deviation - total,107000.0
1990,Total,Total,Upper secondary education,Income from work,Standard deviation - total,921000.0
1990,Total,16 - 24 years,Upper secondary education,Income from work,Standard deviation - total,483000.0
1990,Total,75 years and over,Upper secondary education,Income from work,Standard deviation - total,300000.0
1990,Men,Total,Upper secondary education,Income from work,Standard deviation - total,998000.0
1990,Men,16 - 24 years,Upper secondary education,Income from work,Standard deviation - total,573000.0
1990,Men,75 years and over,Upper secondary education,Income from work,Standard deviation - total,344000.0
1990,Women,Total,Upper secondary education,Income from work,Standard deviation - total,507000.0
1990,Women,16 - 24 years,Upper secondary education,Income from work,Standard deviation - total,344000.0
1990,Women,75 years and over,Upper secondary education,Income from work,Standard deviation - total,113000.0
1990,Total,Total,Upper secondary education: vocational,Income from work,Standard deviation - total,963000.0
1990,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Standard deviation - total,591000.0
1990,Total,75 years and over,Upper secondary education: vocational,Income from work,Standard deviation - total,296000.0
1990,Men,Total,Upper secondary education: vocational,Income from work,Standard deviation - total,1007000.0
1990,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Standard deviation - total,653000.0
1990,Men,75 years and over,Upper secondary education: vocational,Income from work,Standard deviation - total,339000.0
