Year,Sex,Age,Unit,value
1991,Men,Total,Number - conditional,86496
1991,Men,16 - 24 years,Number - conditional,17669
1991,Men,16 - 64 years,Number - conditional,74512
1991,Men,16 - 74 years,Number - conditional,81889
1991,Men,18 - 66 years,Number - conditional,72332
1991,Men,25 - 54 years,Number - conditional,47235
1991,Men,25 - 64 years,Number - conditional,56843
1991,Men,25 - 74 years,Number - conditional,64220
1991,Men,55 - 74 years,Number - conditional,16985
1991,Men,67 years and older,Number - conditional,10244
1991,Men,75 years and older,Number - conditional,4607
1991,Women,Total,10%,21400
1991,Women,16 - 24 years,10%,16800
1991,Women,16 - 64 years,10%,20300
1991,Women,16 - 74 years,10%,21100
1991,Women,18 - 66 years,10%,22300
1991,Women,25 - 54 years,10%,22600
1991,Women,25 - 64 years,10%,23700
1991,Women,25 - 74 years,10%,24800
1991,Women,55 - 74 years,10%,30700
1991,Women,67 years and older,10%,32700
1991,Women,75 years and older,10%,30700
1991,Women,Total,20%,38700
1991,Women,16 - 24 years,20%,24500
1991,Women,16 - 64 years,20%,36400
1991,Women,16 - 74 years,20%,37700
1991,Women,18 - 66 years,20%,40500
1991,Women,25 - 54 years,20%,46100
1991,Women,25 - 64 years,20%,46800
1991,Women,25 - 74 years,20%,46600
1991,Women,55 - 74 years,20%,47600
1991,Women,67 years and older,20%,47100
1991,Women,75 years and older,20%,47900
1991,Women,Total,30%,52400
1991,Women,16 - 24 years,30%,31500
1991,Women,16 - 64 years,30%,51300
1991,Women,16 - 74 years,30%,51800
1991,Women,18 - 66 years,30%,55000
1991,Women,25 - 54 years,30%,61900
1991,Women,25 - 64 years,30%,62000
1991,Women,25 - 74 years,30%,60900
1991,Women,55 - 74 years,30%,58900
1991,Women,67 years and older,30%,56600
1991,Women,75 years and older,30%,57400
1991,Women,Total,40%,64500
1991,Women,16 - 24 years,40%,39000
1991,Women,16 - 64 years,40%,64200
1991,Women,16 - 74 years,40%,64300
1991,Women,18 - 66 years,40%,67500
1991,Women,25 - 54 years,40%,73700
1991,Women,25 - 64 years,40%,73600
1991,Women,25 - 74 years,40%,72200
1991,Women,55 - 74 years,40%,69200
1991,Women,67 years and older,40%,65300
1991,Women,75 years and older,40%,65400
1991,Women,Total,50%,74400
1991,Women,16 - 24 years,50%,47500
1991,Women,16 - 64 years,50%,75400
1991,Women,16 - 74 years,50%,75100
1991,Women,18 - 66 years,50%,78200
1991,Women,25 - 54 years,50%,85500
1991,Women,25 - 64 years,50%,85100
1991,Women,25 - 74 years,50%,83100
1991,Women,55 - 74 years,50%,78000
1991,Women,67 years and older,50%,71900
1991,Women,75 years and older,50%,71500
1991,Women,Total,60%,85600
1991,Women,16 - 24 years,60%,57000
1991,Women,16 - 64 years,60%,87700
1991,Women,16 - 74 years,60%,86900
1991,Women,18 - 66 years,60%,90300
1991,Women,25 - 54 years,60%,98900
1991,Women,25 - 64 years,60%,98100
1991,Women,25 - 74 years,60%,95400
1991,Women,55 - 74 years,60%,88400
1991,Women,67 years and older,60%,77300
1991,Women,75 years and older,60%,75600
1991,Women,Total,70%,99400
1991,Women,16 - 24 years,70%,67400
1991,Women,16 - 64 years,70%,102800
1991,Women,16 - 74 years,70%,101400
1991,Women,18 - 66 years,70%,105300
1991,Women,25 - 54 years,70%,114900
1991,Women,25 - 64 years,70%,113700
1991,Women,25 - 74 years,70%,110700
1991,Women,55 - 74 years,70%,100900
1991,Women,67 years and older,70%,86300
1991,Women,75 years and older,70%,82200
1991,Women,Total,80%,118600
1991,Women,16 - 24 years,80%,79100
1991,Women,16 - 64 years,80%,122800
1991,Women,16 - 74 years,80%,121100
1991,Women,18 - 66 years,80%,125200
1991,Women,25 - 54 years,80%,135700
1991,Women,25 - 64 years,80%,134200
1991,Women,25 - 74 years,80%,131000
1991,Women,55 - 74 years,80%,118000
1991,Women,67 years and older,80%,97400
1991,Women,75 years and older,80%,93500
1991,Women,Total,90%,150800
1991,Women,16 - 24 years,90%,96500
1991,Women,16 - 64 years,90%,154800
1991,Women,16 - 74 years,90%,153300
1991,Women,18 - 66 years,90%,157100
1991,Women,25 - 54 years,90%,168300
1991,Women,25 - 64 years,90%,166700
1991,Women,25 - 74 years,90%,163300
1991,Women,55 - 74 years,90%,147900
1991,Women,67 years and older,90%,119500
1991,Women,75 years and older,90%,107800
1991,Women,Total,95%,183000
1991,Women,16 - 24 years,95%,112000
1991,Women,16 - 64 years,95%,187000
1991,Women,16 - 74 years,95%,185600
1991,Women,18 - 66 years,95%,189500
1991,Women,25 - 54 years,95%,200100
1991,Women,25 - 64 years,95%,198800
1991,Women,25 - 74 years,95%,195900
1991,Women,55 - 74 years,95%,181600
1991,Women,67 years and older,95%,148200
1991,Women,75 years and older,95%,129800
1991,Women,Total,99%,269200
1991,Women,16 - 24 years,99%,148700
1991,Women,16 - 64 years,99%,269600
1991,Women,16 - 74 years,99%,271000
1991,Women,18 - 66 years,99%,273100
1991,Women,25 - 54 years,99%,285800
1991,Women,25 - 64 years,99%,287200
1991,Women,25 - 74 years,99%,287700
1991,Women,55 - 74 years,99%,292200
1991,Women,67 years and older,99%,261800
1991,Women,75 years and older,99%,237400
1991,Women,Total,Mean - conditional,83500
1991,Women,16 - 24 years,Mean - conditional,53100
1991,Women,16 - 64 years,Mean - conditional,84400
1991,Women,16 - 74 years,Mean - conditional,84200
1991,Women,18 - 66 years,Mean - conditional,87200
1991,Women,25 - 54 years,Mean - conditional,94300
1991,Women,25 - 64 years,Mean - conditional,93900
1991,Women,25 - 74 years,Mean - conditional,92400
1991,Women,55 - 74 years,Mean - conditional,87700
1991,Women,67 years and older,Mean - conditional,78000
1991,Women,75 years and older,Mean - conditional,74200
1991,Women,Total,Number - conditional,88225
1991,Women,16 - 24 years,Number - conditional,16998
1991,Women,16 - 64 years,Number - conditional,73266
1991,Women,16 - 74 years,Number - conditional,81484
1991,Women,18 - 66 years,Number - conditional,71265
1991,Women,25 - 54 years,Number - conditional,46349
1991,Women,25 - 64 years,Number - conditional,56268
1991,Women,25 - 74 years,Number - conditional,64486
1991,Women,55 - 74 years,Number - conditional,18137
1991,Women,67 years and older,Number - conditional,13150
1991,Women,75 years and older,Number - conditional,6741
1992,Total,Total,10%,28800
1992,Total,16 - 24 years,10%,16400
1992,Total,16 - 64 years,10%,27200
1992,Total,16 - 74 years,10%,28400
1992,Total,18 - 66 years,10%,33100
1992,Total,25 - 54 years,10%,40900
1992,Total,25 - 64 years,10%,42000
1992,Total,25 - 74 years,10%,42100
1992,Total,55 - 74 years,10%,43800
1992,Total,67 years and older,10%,42000
1992,Total,75 years and older,10%,39600
1992,Total,Total,20%,50700
1992,Total,16 - 24 years,20%,25500
1992,Total,16 - 64 years,20%,49100
1992,Total,16 - 74 years,20%,50200
1992,Total,18 - 66 years,20%,55900
1992,Total,25 - 54 years,20%,67200
1992,Total,25 - 64 years,20%,67000
1992,Total,25 - 74 years,20%,65200
1992,Total,55 - 74 years,20%,61300
1992,Total,67 years and older,20%,55600
1992,Total,75 years and older,20%,54700
1992,Total,Total,30%,67400
1992,Total,16 - 24 years,30%,34000
1992,Total,16 - 64 years,30%,67900
1992,Total,16 - 74 years,30%,68100
1992,Total,18 - 66 years,30%,72800
1992,Total,25 - 54 years,30%,84100
1992,Total,25 - 64 years,30%,83500
1992,Total,25 - 74 years,30%,80800
1992,Total,55 - 74 years,30%,74300
1992,Total,67 years and older,30%,65400
1992,Total,75 years and older,30%,63700
1992,Total,Total,40%,80600
1992,Total,16 - 24 years,40%,43300
1992,Total,16 - 64 years,40%,83400
1992,Total,16 - 74 years,40%,82600
1992,Total,18 - 66 years,40%,88300
1992,Total,25 - 54 years,40%,102600
1992,Total,25 - 64 years,40%,101300
1992,Total,25 - 74 years,40%,97000
1992,Total,55 - 74 years,40%,86400
1992,Total,67 years and older,40%,73100
1992,Total,75 years and older,40%,70400
1992,Total,Total,50%,96400
1992,Total,16 - 24 years,50%,54000
1992,Total,16 - 64 years,50%,101700
1992,Total,16 - 74 years,50%,99900
1992,Total,18 - 66 years,50%,106800
1992,Total,25 - 54 years,50%,123400
1992,Total,25 - 64 years,50%,121400
1992,Total,25 - 74 years,50%,116300
1992,Total,55 - 74 years,50%,100700
1992,Total,67 years and older,50%,79400
1992,Total,75 years and older,50%,75600
1992,Total,Total,60%,116500
1992,Total,16 - 24 years,60%,65800
1992,Total,16 - 64 years,60%,123600
1992,Total,16 - 74 years,60%,121200
1992,Total,18 - 66 years,60%,128500
1992,Total,25 - 54 years,60%,147400
1992,Total,25 - 64 years,60%,144600
1992,Total,25 - 74 years,60%,138800
1992,Total,55 - 74 years,60%,118700
1992,Total,67 years and older,60%,88500
1992,Total,75 years and older,60%,81400
1992,Total,Total,70%,143200
1992,Total,16 - 24 years,70%,77800
1992,Total,16 - 64 years,70%,151500
1992,Total,16 - 74 years,70%,148300
1992,Total,18 - 66 years,70%,156000
1992,Total,25 - 54 years,70%,175600
1992,Total,25 - 64 years,70%,172500
1992,Total,25 - 74 years,70%,166300
1992,Total,55 - 74 years,70%,141000
1992,Total,67 years and older,70%,100300
1992,Total,75 years and older,70%,90000
1992,Total,Total,80%,179800
1992,Total,16 - 24 years,80%,95500
1992,Total,16 - 64 years,80%,188500
1992,Total,16 - 74 years,80%,184700
1992,Total,18 - 66 years,80%,192600
1992,Total,25 - 54 years,80%,212800
1992,Total,25 - 64 years,80%,209000
1992,Total,25 - 74 years,80%,202600
1992,Total,55 - 74 years,80%,172900
1992,Total,67 years and older,80%,118700
1992,Total,75 years and older,80%,101900
1992,Total,Total,90%,240400
1992,Total,16 - 24 years,90%,124900
1992,Total,16 - 64 years,90%,249700
1992,Total,16 - 74 years,90%,245400
1992,Total,18 - 66 years,90%,253900
1992,Total,25 - 54 years,90%,277200
1992,Total,25 - 64 years,90%,273100
1992,Total,25 - 74 years,90%,265700
1992,Total,55 - 74 years,90%,228200
1992,Total,67 years and older,90%,159300
1992,Total,75 years and older,90%,122100
1992,Total,Total,95%,307800
1992,Total,16 - 24 years,95%,156500
1992,Total,16 - 64 years,95%,316900
1992,Total,16 - 74 years,95%,312900
1992,Total,18 - 66 years,95%,321300
1992,Total,25 - 54 years,95%,343200
1992,Total,25 - 64 years,95%,341900
1992,Total,25 - 74 years,95%,335400
1992,Total,55 - 74 years,95%,298200
1992,Total,67 years and older,95%,209100
1992,Total,75 years and older,95%,156700
1992,Total,Total,99%,489900
1992,Total,16 - 24 years,99%,242200
1992,Total,16 - 64 years,99%,497000
1992,Total,16 - 74 years,99%,495700
1992,Total,18 - 66 years,99%,505300
1992,Total,25 - 54 years,99%,524600
1992,Total,25 - 64 years,99%,533300
1992,Total,25 - 74 years,99%,527800
1992,Total,55 - 74 years,99%,545000
1992,Total,67 years and older,99%,423000
1992,Total,75 years and older,99%,336100
1992,Total,Total,Mean - conditional,123500
1992,Total,16 - 24 years,Mean - conditional,64700
1992,Total,16 - 64 years,Mean - conditional,127500
1992,Total,16 - 74 years,Mean - conditional,126100
1992,Total,18 - 66 years,Mean - conditional,132500
1992,Total,25 - 54 years,Mean - conditional,147800
1992,Total,25 - 64 years,Mean - conditional,146400
1992,Total,25 - 74 years,Mean - conditional,142300
1992,Total,55 - 74 years,Mean - conditional,127600
1992,Total,67 years and older,Mean - conditional,97800
1992,Total,75 years and older,Mean - conditional,85800
1992,Total,Total,Number - conditional,177239
1992,Total,16 - 24 years,Number - conditional,34594
1992,Total,16 - 64 years,Number - conditional,149652
1992,Total,16 - 74 years,Number - conditional,165603
1992,Total,18 - 66 years,Number - conditional,145541
1992,Total,25 - 54 years,Number - conditional,95560
1992,Total,25 - 64 years,Number - conditional,115058
1992,Total,25 - 74 years,Number - conditional,131009
1992,Total,55 - 74 years,Number - conditional,35449
1992,Total,67 years and older,Number - conditional,23919
1992,Total,75 years and older,Number - conditional,11636
1992,Men,Total,10%,42400
1992,Men,16 - 24 years,10%,17600
1992,Men,16 - 64 years,10%,39300
1992,Men,16 - 74 years,10%,41800
1992,Men,18 - 66 years,10%,51800
1992,Men,25 - 54 years,10%,72300
1992,Men,25 - 64 years,10%,72100
1992,Men,25 - 74 years,10%,70000
1992,Men,55 - 74 years,10%,64800
1992,Men,67 years and older,10%,56500
1992,Men,75 years and older,10%,52700
1992,Men,Total,20%,69400
1992,Men,16 - 24 years,20%,27700
1992,Men,16 - 64 years,20%,70000
1992,Men,16 - 74 years,20%,70700
1992,Men,18 - 66 years,20%,79000
1992,Men,25 - 54 years,20%,103300
1992,Men,25 - 64 years,20%,101800
1992,Men,25 - 74 years,20%,95300
1992,Men,55 - 74 years,20%,82100
1992,Men,67 years and older,20%,66500
1992,Men,75 years and older,20%,62700
1992,Men,Total,30%,89000
1992,Men,16 - 24 years,30%,38000
1992,Men,16 - 64 years,30%,94600
1992,Men,16 - 74 years,30%,93200
1992,Men,18 - 66 years,30%,104300
1992,Men,25 - 54 years,30%,130000
1992,Men,25 - 64 years,30%,127100
1992,Men,25 - 74 years,30%,120400
1992,Men,55 - 74 years,30%,100200
1992,Men,67 years and older,30%,74200
1992,Men,75 years and older,30%,69100
1992,Men,Total,40%,112600
1992,Men,16 - 24 years,40%,49600
1992,Men,16 - 64 years,40%,120500
1992,Men,16 - 74 years,40%,118000
1992,Men,18 - 66 years,40%,128300
1992,Men,25 - 54 years,40%,153500
1992,Men,25 - 64 years,40%,150500
1992,Men,25 - 74 years,40%,143500
1992,Men,55 - 74 years,40%,119700
1992,Men,67 years and older,40%,82400
1992,Men,75 years and older,40%,74600
1992,Men,Total,50%,137200
1992,Men,16 - 24 years,50%,62800
1992,Men,16 - 64 years,50%,146000
1992,Men,16 - 74 years,50%,142700
1992,Men,18 - 66 years,50%,152500
1992,Men,25 - 54 years,50%,176000
1992,Men,25 - 64 years,50%,172700
1992,Men,25 - 74 years,50%,165900
1992,Men,55 - 74 years,50%,138400
1992,Men,67 years and older,50%,93400
1992,Men,75 years and older,50%,81100
1992,Men,Total,60%,163600
1992,Men,16 - 24 years,60%,75600
1992,Men,16 - 64 years,60%,172300
1992,Men,16 - 74 years,60%,168500
1992,Men,18 - 66 years,60%,177700
1992,Men,25 - 54 years,60%,200300
1992,Men,25 - 64 years,60%,196600
1992,Men,25 - 74 years,60%,190100
1992,Men,55 - 74 years,60%,160000
1992,Men,67 years and older,60%,106900
1992,Men,75 years and older,60%,89100
1992,Men,Total,70%,193400
1992,Men,16 - 24 years,70%,93500
1992,Men,16 - 64 years,70%,201800
1992,Men,16 - 74 years,70%,197900
1992,Men,18 - 66 years,70%,206500
1992,Men,25 - 54 years,70%,228900
1992,Men,25 - 64 years,70%,224900
1992,Men,25 - 74 years,70%,218400
1992,Men,55 - 74 years,70%,185300
1992,Men,67 years and older,70%,125500
1992,Men,75 years and older,70%,100600
1992,Men,Total,80%,232200
1992,Men,16 - 24 years,80%,116400
1992,Men,16 - 64 years,80%,241000
1992,Men,16 - 74 years,80%,236900
1992,Men,18 - 66 years,80%,245400
1992,Men,25 - 54 years,80%,268900
1992,Men,25 - 64 years,80%,265100
1992,Men,25 - 74 years,80%,258000
1992,Men,55 - 74 years,80%,220700
1992,Men,67 years and older,80%,153400
1992,Men,75 years and older,80%,114000
1992,Men,Total,90%,301500
1992,Men,16 - 24 years,90%,151500
1992,Men,16 - 64 years,90%,310500
1992,Men,16 - 74 years,90%,306100
1992,Men,18 - 66 years,90%,315000
1992,Men,25 - 54 years,90%,337800
1992,Men,25 - 64 years,90%,336400
1992,Men,25 - 74 years,90%,329300
1992,Men,55 - 74 years,90%,290400
1992,Men,67 years and older,90%,203100
1992,Men,75 years and older,90%,147400
1992,Men,Total,95%,374000
1992,Men,16 - 24 years,95%,187700
1992,Men,16 - 64 years,95%,382600
1992,Men,16 - 74 years,95%,379000
1992,Men,18 - 66 years,95%,387600
1992,Men,25 - 54 years,95%,410100
1992,Men,25 - 64 years,95%,411400
1992,Men,25 - 74 years,95%,404800
1992,Men,55 - 74 years,95%,384300
1992,Men,67 years and older,95%,269500
1992,Men,75 years and older,95%,197500
1992,Men,Total,99%,580400
1992,Men,16 - 24 years,99%,278800
1992,Men,16 - 64 years,99%,584700
1992,Men,16 - 74 years,99%,585200
1992,Men,18 - 66 years,99%,597100
1992,Men,25 - 54 years,99%,620800
1992,Men,25 - 64 years,99%,634800
1992,Men,25 - 74 years,99%,631800
1992,Men,55 - 74 years,99%,670200
1992,Men,67 years and older,99%,509200
1992,Men,75 years and older,99%,410800
1992,Men,Total,Mean - conditional,161900
1992,Men,16 - 24 years,Mean - conditional,76100
1992,Men,16 - 64 years,Mean - conditional,167300
1992,Men,16 - 74 years,Mean - conditional,165400
1992,Men,18 - 66 years,Mean - conditional,174500
1992,Men,25 - 54 years,Mean - conditional,197100
1992,Men,25 - 64 years,Mean - conditional,195200
1992,Men,25 - 74 years,Mean - conditional,189500
1992,Men,55 - 74 years,Mean - conditional,168400
1992,Men,67 years and older,Mean - conditional,121600
1992,Men,75 years and older,Mean - conditional,99700
1992,Men,Total,Number - conditional,87734
1992,Men,16 - 24 years,Number - conditional,17670
1992,Men,16 - 64 years,Number - conditional,75435
1992,Men,16 - 74 years,Number - conditional,83022
1992,Men,18 - 66 years,Number - conditional,73215
1992,Men,25 - 54 years,Number - conditional,48148
1992,Men,25 - 64 years,Number - conditional,57765
1992,Men,25 - 74 years,Number - conditional,65352
1992,Men,55 - 74 years,Number - conditional,17204
1992,Men,67 years and older,Number - conditional,10519
1992,Men,75 years and older,Number - conditional,4712
1992,Women,Total,10%,21900
1992,Women,16 - 24 years,10%,15100
1992,Women,16 - 64 years,10%,20600
1992,Women,16 - 74 years,10%,21500
1992,Women,18 - 66 years,10%,23600
1992,Women,25 - 54 years,10%,24800
1992,Women,25 - 64 years,10%,25700
1992,Women,25 - 74 years,10%,26800
1992,Women,55 - 74 years,10%,31800
1992,Women,67 years and older,10%,32700
1992,Women,75 years and older,10%,29300
1992,Women,Total,20%,39900
1992,Women,16 - 24 years,20%,23700
1992,Women,16 - 64 years,20%,37600
1992,Women,16 - 74 years,20%,39000
1992,Women,18 - 66 years,20%,42400
1992,Women,25 - 54 years,20%,48800
1992,Women,25 - 64 years,20%,49200
1992,Women,25 - 74 years,20%,48700
1992,Women,55 - 74 years,20%,48400
1992,Women,67 years and older,20%,47900
1992,Women,75 years and older,20%,48200
1992,Women,Total,30%,54100
1992,Women,16 - 24 years,30%,31000
1992,Women,16 - 64 years,30%,53100
1992,Women,16 - 74 years,30%,53600
1992,Women,18 - 66 years,30%,57300
1992,Women,25 - 54 years,30%,64800
1992,Women,25 - 64 years,30%,64700
1992,Women,25 - 74 years,30%,63300
1992,Women,55 - 74 years,30%,60200
1992,Women,67 years and older,30%,57300
1992,Women,75 years and older,30%,58700
1992,Women,Total,40%,66600
1992,Women,16 - 24 years,40%,38600
1992,Women,16 - 64 years,40%,66600
1992,Women,16 - 74 years,40%,66600
1992,Women,18 - 66 years,40%,69900
1992,Women,25 - 54 years,40%,76600
1992,Women,25 - 64 years,40%,76300
1992,Women,25 - 74 years,40%,74700
1992,Women,55 - 74 years,40%,71000
1992,Women,67 years and older,40%,66100
1992,Women,75 years and older,40%,66600
1992,Women,Total,50%,76700
1992,Women,16 - 24 years,50%,47400
1992,Women,16 - 64 years,50%,77800
1992,Women,16 - 74 years,50%,77400
1992,Women,18 - 66 years,50%,80700
1992,Women,25 - 54 years,50%,88500
1992,Women,25 - 64 years,50%,87800
1992,Women,25 - 74 years,50%,85700
1992,Women,55 - 74 years,50%,80100
1992,Women,67 years and older,50%,73700
1992,Women,75 years and older,50%,73400
1992,Women,Total,60%,87900
1992,Women,16 - 24 years,60%,57100
1992,Women,16 - 64 years,60%,90400
1992,Women,16 - 74 years,60%,89500
1992,Women,18 - 66 years,60%,93000
1992,Women,25 - 54 years,60%,101700
1992,Women,25 - 64 years,60%,100900
